Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (ISO3),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","21","Brazil","IRN","Iran (Islamic Republic of)","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","84000","","Official data"
"TM","Detailed trade matrix","21","Brazil","IRN","Iran (Islamic Republic of)","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","131325","","Official data"
"TM","Detailed trade matrix","21","Brazil","IRL","Ireland","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","117543","","Official data"
"TM","Detailed trade matrix","21","Brazil","ISR","Israel","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","15100","","Official data"
"TM","Detailed trade matrix","21","Brazil","ITA","Italy","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","362104","","Official data"
"TM","Detailed trade matrix","21","Brazil","ITA","Italy","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","14","","Official data"
"TM","Detailed trade matrix","21","Brazil","ITA","Italy","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","356106","","Official data"
"TM","Detailed trade matrix","21","Brazil","JPN","Japan","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","229666","","Official data"
"TM","Detailed trade matrix","21","Brazil","JPN","Japan","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","1","","Official data"
"TM","Detailed trade matrix","21","Brazil","JPN","Japan","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","4","","Official data"
"TM","Detailed trade matrix","21","Brazil","JPN","Japan","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","610599","","Official data"
"TM","Detailed trade matrix","21","Brazil","JOR","Jordan","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","200","","Official data"
"TM","Detailed trade matrix","21","Brazil","MYS","Malaysia","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","93345","","Official data"
"TM","Detailed trade matrix","21","Brazil","MEX","Mexico","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","18","","Official data"
"TM","Detailed trade matrix","21","Brazil","MEX","Mexico","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","5065","","Official data"
"TM","Detailed trade matrix","21","Brazil","MEX","Mexico","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","280933","","Official data"
"TM","Detailed trade matrix","21","Brazil","MAR","Morocco","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","49786","","Official data"
"TM","Detailed trade matrix","21","Brazil","MOZ","Mozambique","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","0","","Official data"
"TM","Detailed trade matrix","21","Brazil","MOZ","Mozambique","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","80","","Official data"
"TM","Detailed trade matrix","21","Brazil","NLD","Netherlands","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","4247433","","Official data"
"TM","Detailed trade matrix","21","Brazil","NLD","Netherlands","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","9818","","Official data"
"TM","Detailed trade matrix","21","Brazil","NLD","Netherlands","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","11","","Official data"
"TM","Detailed trade matrix","21","Brazil","NLD","Netherlands","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","1585903","","Official data"
"TM","Detailed trade matrix","21","Brazil","NZL","New Zealand","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","20","","Official data"
"TM","Detailed trade matrix","21","Brazil","NZL","New Zealand","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","3686","","Official data"
"TM","Detailed trade matrix","21","Brazil","NIC","Nicaragua","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","41","","Official data"
"TM","Detailed trade matrix","21","Brazil","NGA","Nigeria","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","10","","Official data"
"TM","Detailed trade matrix","21","Brazil","NOR","Norway","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","13875","","Official data"
"TM","Detailed trade matrix","21","Brazil","NOR","Norway","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","315224","","Official data"
"TM","Detailed trade matrix","21","Brazil","PAN","Panama","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","2247","","Official data"
"TM","Detailed trade matrix","21","Brazil","PAN","Panama","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","0","","Official data"
"TM","Detailed trade matrix","21","Brazil","PRY","Paraguay","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","5407","","Official data"
"TM","Detailed trade matrix","21","Brazil","PRY","Paraguay","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","97","","Official data"
"TM","Detailed trade matrix","21","Brazil","PRY","Paraguay","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","2309","","Official data"
"TM","Detailed trade matrix","21","Brazil","PER","Peru","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","45","","Official data"
"TM","Detailed trade matrix","21","Brazil","PER","Peru","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","9755","","Official data"
"TM","Detailed trade matrix","21","Brazil","PHL","Philippines","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","5793","","Official data"
"TM","Detailed trade matrix","21","Brazil","PHL","Philippines","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","104","","Official data"
"TM","Detailed trade matrix","21","Brazil","POL","Poland","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","75593","","Official data"
"TM","Detailed trade matrix","21","Brazil","PRT","Portugal","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","39438","","Official data"
"TM","Detailed trade matrix","21","Brazil","PRT","Portugal","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","0","","Official data"
"TM","Detailed trade matrix","21","Brazil","PRT","Portugal","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","201531","","Official data"
"TM","Detailed trade matrix","21","Brazil","QAT","Qatar","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","4","","Official data"
"TM","Detailed trade matrix","21","Brazil","KOR","Republic of Korea","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","1131725","","Official data"
"TM","Detailed trade matrix","21","Brazil","KOR","Republic of Korea","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","153","","Official data"
"TM","Detailed trade matrix","21","Brazil","KOR","Republic of Korea","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","350475","","Official data"
"TM","Detailed trade matrix","21","Brazil","ROU","Romania","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","174383","","Official data"
"TM","Detailed trade matrix","21","Brazil","ROU","Romania","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","73254","","Official data"
"TM","Detailed trade matrix","21","Brazil","KNA","Saint Kitts and Nevis","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","14","","Official data"
"TM","Detailed trade matrix","21","Brazil","VCT","Saint Vincent and the Grenadines","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","23","","Official data"
