"";"area_code";"area";"item_code";"item";"year";"total_supply";"exports";"feed";"food";"imports";"losses";"other";"processing";"production";"seed";"stock_withdrawal";"stock_addition";"balancing";"unspecified"
"53";1;"Armenia";866;"Cattle";2013;510180;760;NA;NA;574;NA;NA;509420;509606;NA;NA;NA;0;NA
"112";1;"Armenia";976;"Sheep";2013;593509;37176;NA;NA;0;NA;NA;556333;593509;NA;NA;NA;0;NA
"140";1;"Armenia";1016;"Goats";2013;3060;0;NA;NA;0;NA;NA;3060;3060;NA;NA;NA;0;NA
"199";1;"Armenia";1034;"Pigs";2013;152412;0;NA;NA;0;NA;NA;152412;152412;NA;NA;NA;0;NA
"220";1;"Armenia";1096;"Horses";2013;0;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;0;NA
"226";1;"Armenia";1110;"Mules";2013;8;NA;NA;NA;8;NA;NA;8;NA;NA;NA;NA;0;NA
"238";1;"Armenia";1140;"Rabbits and hares";2013;0;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;0;NA
"261";1;"Armenia";2000;"Fodder crops";2013;2516242;NA;2516242;NA;NA;NA;NA;NA;2516242;NA;NA;NA;0;0
"283";1;"Armenia";2029;"Poultry Birds";2013;12444000;85000;NA;NA;7243000;NA;NA;12359000;5201000;NA;NA;NA;0;NA
"311";1;"Armenia";2511;"Wheat and products";2013;672944;954;93000;388788;361386;32336;85;9985;311558;29900;-117896;117896;0;NA
"338";1;"Armenia";2513;"Barley and products";2013;197995;0;136800;3;9212;14900;25592;6500;188783;14200;0;0;0;NA
"365";1;"Armenia";2514;"Maize and products";2013;102421;0;95717;104;81515;6500;0;0;20906;100;0;0;0;NA
"392";1;"Armenia";2515;"Rye and products";2013;1298;0;838;351;351;9;0;0;947;100;0;0;0;NA
"419";1;"Armenia";2516;"Oats";2013;5723;0;4172;1105;1105;46;0;0;4618;400;0;0;0;NA
"446";1;"Armenia";2517;"Millet and products";2013;111;0;111;0;111;0;0;0;0;0;0;0;0;NA
"468";1;"Armenia";2518;"Sorghum and products";2013;18;0;18;0;18;0;0;0;0;0;0;0;0;NA
"490";1;"Armenia";2520;"Cereals, Other";2013;20759;183;906;5832;3912;900;11538;0;16847;1400;0;0;0;NA
"517";1;"Armenia";2531;"Potatoes and products";2013;665886;9184;225100;134273;5375;96200;15929;77500;660511;122700;15000;-15000;0;NA
"544";1;"Armenia";2532;"Cassava and products";2013;152;0;152;0;152;0;0;0;0;0;0;0;0;NA
"566";1;"Armenia";2534;"Roots, Other";2013;28;0;28;0;28;0;0;0;0;0;0;0;0;NA
"588";1;"Armenia";2537;"Sugar beet";2013;54558;0;558;0;58;0;0;54000;54500;0;0;0;0;NA
"615";1;"Armenia";2543;"Sweeteners, Other";2013;3411;0;0;5406;1651;0;5;0;1760;0;2000;-2000;0;NA
"637";1;"Armenia";2544;"Molasses";2013;2160;0;2160;0;0;0;0;0;2160;0;0;0;0;NA
"660";1;"Armenia";2546;"Beans";2013;4975;0;4526;0;43;249;0;0;4932;200;0;0;0;NA
"687";1;"Armenia";2547;"Peas";2013;1820;0;1820;0;1741;0;0;0;79;0;0;0;0;NA
"714";1;"Armenia";2549;"Pulses, Other and products";2013;2638;0;2636;0;2543;2;0;0;95;0;0;0;0;NA
"741";1;"Armenia";2551;"Nuts and products";2013;7095;697;0;6398;2395;0;0;0;4700;0;0;0;0;NA
"768";1;"Armenia";2555;"Soyabeans";2013;123;0;116;7;123;0;0;0;0;0;0;0;0;NA
"790";1;"Armenia";2556;"Groundnuts (Shelled Eq)";2013;1198;2;0;1196;1198;0;0;0;0;0;0;0;0;NA
"812";1;"Armenia";2557;"Sunflower seed";2013;2216;0;216;0;2216;0;0;2000;0;0;0;0;0;NA
"834";1;"Armenia";2558;"Rape and Mustardseed";2013;82;0;41;41;82;0;0;0;0;0;0;0;0;NA
"856";1;"Armenia";2560;"Coconuts - Incl Copra";2013;225;0;0;225;225;0;0;0;0;0;0;0;0;NA
"878";1;"Armenia";2561;"Sesame seed";2013;20;0;0;20;20;0;0;0;0;0;0;0;0;NA
"900";1;"Armenia";2563;"Olives (including preserved)";2013;3598;858;0;2740;3598;0;0;0;0;0;0;0;0;NA
"922";1;"Armenia";2570;"Oilcrops, Other";2013;834;0;752;0;752;0;0;0;82;0;0;0;82;NA
"949";1;"Armenia";2571;"Soyabean Oil";2013;540;0;0;540;540;0;0;0;0;0;0;0;0;NA
"971";1;"Armenia";2572;"Groundnut Oil";2013;1;0;0;1;1;0;0;0;0;0;0;0;0;NA
"993";1;"Armenia";2573;"Sunflowerseed Oil";2013;29660;17;0;26343;28760;0;3300;0;900;0;0;0;0;NA
"1016";1;"Armenia";2574;"Rape and Mustard Oil";2013;2;0;0;2;2;0;0;0;0;0;0;0;0;NA
"1038";1;"Armenia";2575;"Cottonseed Oil";2013;1;0;0;0;1;0;1;0;0;0;0;0;0;NA
"1060";1;"Armenia";2576;"Palmkernel Oil";2013;22;0;0;22;22;0;0;0;0;0;0;0;0;NA
"1082";1;"Armenia";2577;"Palm Oil";2013;1400;0;0;0;1400;0;1400;0;0;0;0;0;0;NA
"1104";1;"Armenia";2578;"Coconut Oil";2013;883;0;0;883;883;0;0;0;0;0;0;0;0;NA
"1126";1;"Armenia";2579;"Sesameseed Oil";2013;3;0;0;3;3;0;0;0;0;0;0;0;0;NA
"1148";1;"Armenia";2580;"Olive Oil";2013;118;0;0;97;118;0;20;0;0;0;0;0;1;NA
"1170";1;"Armenia";2582;"Maize Germ Oil";2013;423;0;0;423;423;0;0;0;0;0;0;0;0;NA
"1192";1;"Armenia";2586;"Oilcrops Oil, Other";2013;2020;4;0;20;2020;0;1996;0;0;0;0;0;0;NA
"1214";1;"Armenia";2590;"Soyabean Cake";2013;13374;0;13374;0;13374;0;0;0;0;0;0;0;0;NA
"1236";1;"Armenia";2592;"Sunflowerseed Cake";2013;12583;0;12583;0;11683;0;0;0;900;0;0;0;0;NA
"1258";1;"Armenia";2593;"Rape and Mustard Cake";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"1280";1;"Armenia";2598;"Oilseed Cakes, Other";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"1302";1;"Armenia";2601;"Tomatoes and products";2013;276037;3210;0;262277;372;10549;0;0;275665;0;0;0;1;NA
"1329";1;"Armenia";2602;"Onions";2013;52751;136;0;52300;7292;315;0;0;45459;0;0;0;0;NA
"1356";1;"Armenia";2605;"Vegetables, Other";2013;769693;5720;13021;724076;6086;26886;0;0;763607;0;10;-10;0;NA
"1383";1;"Armenia";2611;"Oranges, Mandarines";2013;15233;1012;0;14221;15233;0;0;0;0;0;0;0;0;NA
"1405";1;"Armenia";2612;"Lemons, Limes and products";2013;927;0;0;927;927;0;0;0;0;0;0;0;0;NA
"1427";1;"Armenia";2613;"Grapefruit and products";2013;1740;204;0;1536;1740;0;0;0;0;0;0;0;0;NA
"1449";1;"Armenia";2614;"Citrus, Other";2013;1364;0;0;1364;1364;0;0;0;0;0;0;0;0;NA
"1471";1;"Armenia";2615;"Bananas";2013;2299;0;0;2299;2299;0;0;0;0;0;0;0;0;NA
"1493";1;"Armenia";2616;"Plantains";2013;7577;0;0;7577;7577;0;0;0;0;0;0;0;0;NA
"1515";1;"Armenia";2617;"Apples and products";2013;113638;6177;19305;73813;1692;7843;0;6500;111946;0;0;0;0;NA
"1542";1;"Armenia";2618;"Pineapples and products";2013;616;127;0;489;616;0;0;0;0;0;0;0;0;NA
"1564";1;"Armenia";2619;"Dates";2013;455;0;0;455;455;0;0;0;0;0;0;0;0;NA
"1586";1;"Armenia";2620;"Grapes and products (excl wine)";2013;244164;9279;0;40316;3348;12041;175028;7500;240816;0;0;0;0;NA
"1613";1;"Armenia";2625;"Fruits, Other";2013;232244;25862;0;187074;5971;19308;0;0;226273;0;0;0;0;NA
"1640";1;"Armenia";2630;"Coffee and products";2013;13803;1641;0;12162;13803;0;0;0;0;0;0;0;0;NA
"1662";1;"Armenia";2633;"Cocoa Beans and products";2013;6967;137;0;6829;6967;0;0;0;0;0;0;0;1;NA
"1684";1;"Armenia";2635;"Tea (including mate)";2013;387;25;0;362;387;0;0;0;0;0;0;0;0;NA
"1706";1;"Armenia";2640;"Pepper";2013;85;10;0;75;85;0;0;0;0;0;0;0;0;NA
"1728";1;"Armenia";2641;"Pimento";2013;47;0;0;46;47;0;0;0;0;0;0;0;1;NA
"1750";1;"Armenia";2642;"Cloves";2013;2;0;2;0;2;0;0;0;0;0;0;0;0;NA
"1772";1;"Armenia";2645;"Spices, Other";2013;66;8;0;58;66;0;0;0;0;0;0;0;0;NA
"1794";1;"Armenia";2655;"Wine";2013;6805;2410;0;4395;383;0;0;0;6422;0;0;0;0;NA
"1817";1;"Armenia";2656;"Beer";2013;23111;3879;0;19232;3263;0;0;0;19848;0;0;0;0;NA
"1840";1;"Armenia";2657;"Beverages, Fermented";2013;2461;2168;0;293;11;0;0;0;2450;0;0;0;0;NA
"1862";1;"Armenia";2658;"Beverages, Alcoholic";2013;44580;46574;0;506;14357;0;0;0;30223;0;2500;-2500;0;NA
"1886";1;"Armenia";2659;"Alcohol, Non-Food";2013;3766;3319;0;0;516;0;447;0;3250;0;0;0;0;NA
"1912";1;"Armenia";2661;"Cotton lint";2013;66;0;0;0;66;0;66;0;0;0;0;0;0;NA
"1934";1;"Armenia";2662;"Jute";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"1956";1;"Armenia";2667;"Hard Fibres, Other";2013;24;0;0;0;24;0;24;0;0;0;0;0;0;NA
"1978";1;"Armenia";2671;"Tobacco";2013;14955;6675;0;0;13277;0;11785;0;1678;0;3505;-3505;0;NA
"2005";1;"Armenia";2672;"Rubber";2013;5;0;0;0;5;0;5;0;0;0;0;0;0;NA
"2027";1;"Armenia";2731;"Bovine Meat";2013;60637;116;0;58521;7037;0;2000;0;53600;0;0;0;0;NA
"2054";1;"Armenia";2732;"Mutton & Goat Meat";2013;9000;0;0;9000;0;0;0;0;9000;0;0;0;0;NA
"2081";1;"Armenia";2733;"Pigmeat";2013;31407;608;0;28799;18807;0;2000;0;12600;0;0;0;0;NA
"2108";1;"Armenia";2734;"Poultry Meat";2013;39819;70;0;39748;31619;0;0;0;8200;0;0;0;1;NA
"2135";1;"Armenia";2735;"Meat, Other";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"2157";1;"Armenia";2736;"Offals, Edible";2013;16587;0;0;13667;1735;119;2800;0;14852;0;0;0;1;NA
"2179";1;"Armenia";2737;"Fats, Animals, Raw";2013;11471;0;0;11397;8372;72;1;0;3099;0;0;0;1;NA
"2201";1;"Armenia";2740;"Butter, Ghee";2013;5296;67;0;5229;4749;0;0;0;547;0;0;0;0;NA
"2223";1;"Armenia";2744;"Eggs";2013;35175;0;0;34788;1272;0;323;0;33903;64;0;0;0;NA
"2245";1;"Armenia";2745;"Honey";2013;2102;7;0;2095;2;0;0;0;2100;0;0;0;0;NA
"2267";1;"Armenia";2746;"Wool (Clean Eq.)";2013;2293;0;0;0;21;0;2293;0;2272;0;0;0;0;NA
"2289";1;"Armenia";2748;"Hides and skins";2013;10918;673;0;0;103;0;10245;0;10815;0;0;0;0;NA
"2311";1;"Armenia";2749;"Meat Meal";2013;2501;20;2481;0;2501;0;0;0;0;0;0;0;0;NA
"2333";1;"Armenia";2805;"Rice (Milled Equivalent)";2013;9572;0;108;9464;9572;0;0;0;0;0;0;0;0;NA
"2355";1;"Armenia";2818;"Sugar, Refined Equiv";2013;85103;1998;0;85721;78140;0;0;0;6963;0;2616;-2616;0;NA
"2378";1;"Armenia";2848;"Milk - Excluding Butter";2013;686817;16125;48423;622269;29817;0;0;0;657000;0;0;0;0;NA
"2400";1;"Armenia";2960;"Fish, Seafood";2013;28695;7245;8405;13044;12305;0;0;0;16390;0;0;0;1;NA
"2453";2;"Afghanistan";328;"Seed cotton";2013;42173;NA;NA;NA;NA;NA;NA;42173;42173;NA;NA;NA;0;0
"2511";2;"Afghanistan";866;"Cattle";2013;744500;NA;NA;NA;89896;NA;NA;744500;654604;NA;NA;NA;0;NA
"2524";2;"Afghanistan";946;"Buffaloes";2013;5691;NA;NA;NA;5691;NA;NA;5691;NA;NA;NA;NA;0;NA
"2579";2;"Afghanistan";976;"Sheep";2013;6625000;NA;NA;NA;NA;NA;NA;6625000;6625000;NA;NA;NA;0;NA
"2638";2;"Afghanistan";1016;"Goats";2013;3400009;NA;NA;NA;9;NA;NA;3400009;3400000;NA;NA;NA;0;NA
"2660";2;"Afghanistan";1096;"Horses";2013;0;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;0;NA
"2723";2;"Afghanistan";1126;"Camels";2013;19500;NA;NA;NA;NA;NA;NA;19500;19500;NA;NA;NA;0;NA
"2783";2;"Afghanistan";2029;"Poultry Birds";2013;32522000;0;NA;NA;2874000;NA;NA;32522000;29648000;NA;NA;NA;0;NA
"2842";2;"Afghanistan";2511;"Wheat and products";2013;6342258;0;0;4895258;1173023;775000;0;0;5169235;322000;-350000;350000;0;NA
"2900";2;"Afghanistan";2513;"Barley and products";2013;524000;0;360000;89200;10000;52400;0;0;514000;22400;0;0;0;NA
"2958";2;"Afghanistan";2514;"Maize and products";2013;312700;45;2e+05;76415;700;31270;0;0;312000;4970;0;0;0;NA
"3016";2;"Afghanistan";2517;"Millet and products";2013;13000;0;0;12200;0;650;0;0;13000;150;0;0;0;NA
"3074";2;"Afghanistan";2520;"Cereals, Other";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"3127";2;"Afghanistan";2531;"Potatoes and products";2013;302980;40895;0;229996;0;9089;0;0;302980;23000;0;0;0;NA
"3185";2;"Afghanistan";2536;"Sugar cane";2013;89880;0;80880;0;0;0;0;9000;89880;0;0;0;0;NA
"3243";2;"Afghanistan";2537;"Sugar beet";2013;14765;0;0;0;0;0;0;14765;14765;0;0;0;0;NA
"3301";2;"Afghanistan";2543;"Sweeteners, Other";2013;16250;0;0;16250;16250;0;0;0;0;0;0;0;0;NA
"3354";2;"Afghanistan";2544;"Molasses";2013;1188;0;1188;0;0;0;0;0;1188;0;0;0;0;NA
"3408";2;"Afghanistan";2549;"Pulses, Other and products";2013;85841;70;4292;74404;25841;2575;0;0;60000;4500;0;0;0;NA
"3466";2;"Afghanistan";2551;"Nuts and products";2013;56437;12161;0;44274;0;0;0;0;56437;0;0;0;2;NA
"3524";2;"Afghanistan";2557;"Sunflower seed";2013;2650;0;0;0;0;0;0;2596;2650;54;0;0;0;NA
"3582";2;"Afghanistan";2559;"Cottonseed";2013;27412;0;0;0;0;0;0;26152;27412;1260;0;0;0;NA
"3636";2;"Afghanistan";2560;"Coconuts - Incl Copra";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"3689";2;"Afghanistan";2561;"Sesame seed";2013;32000;10693;0;16000;0;960;0;3642;32000;705;0;0;0;NA
"3747";2;"Afghanistan";2563;"Olives (including preserved)";2013;6600;0;0;1980;0;132;0;4488;6600;0;0;0;0;NA
"3805";2;"Afghanistan";2570;"Oilcrops, Other";2013;2500;0;0;0;0;75;0;2305;2500;120;0;0;0;NA
"3863";2;"Afghanistan";2571;"Soyabean Oil";2013;16300;0;0;16300;16300;0;0;0;0;0;0;0;0;NA
"3916";2;"Afghanistan";2572;"Groundnut Oil";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"3969";2;"Afghanistan";2573;"Sunflowerseed Oil";2013;22949;0;0;22949;22300;0;0;0;649;0;0;0;0;NA
"4023";2;"Afghanistan";2574;"Rape and Mustard Oil";2013;2000;0;0;2000;2000;0;0;0;0;0;0;0;0;NA
"4076";2;"Afghanistan";2575;"Cottonseed Oil";2013;4707;0;0;3766;0;0;941;0;4707;0;0;0;0;NA
"4130";2;"Afghanistan";2577;"Palm Oil";2013;119000;0;0;64000;119000;0;55000;0;0;0;0;0;0;NA
"4183";2;"Afghanistan";2579;"Sesameseed Oil";2013;1457;0;0;1457;0;0;0;0;1457;0;0;0;0;NA
"4237";2;"Afghanistan";2580;"Olive Oil";2013;588;0;0;588;49;0;0;0;539;0;0;0;0;NA
"4291";2;"Afghanistan";2586;"Oilcrops Oil, Other";2013;361228;0;0;2458;360444;0;358770;0;784;0;0;0;0;NA
"4345";2;"Afghanistan";2592;"Sunflowerseed Cake";2013;1817;0;1817;0;0;0;0;0;1817;0;0;0;0;NA
"4398";2;"Afghanistan";2594;"Cottonseed Cake";2013;11769;0;11769;0;0;0;0;0;11769;0;0;0;0;NA
"4451";2;"Afghanistan";2597;"Sesameseed Cake";2013;1930;0;1930;0;0;0;0;0;1930;0;0;0;0;NA
"4504";2;"Afghanistan";2598;"Oilseed Cakes, Other";2013;1475;0;1475;0;0;0;0;0;1475;0;0;0;0;NA
"4557";2;"Afghanistan";2601;"Tomatoes and products";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"4580";2;"Afghanistan";2602;"Onions";2013;233346;88406;NA;NA;3079;NA;NA;NA;230267;NA;NA;NA;0;144940
"4638";2;"Afghanistan";2605;"Vegetables, Other";2013;1040469;33703;0;885167;124149;121599;0;0;916320;0;0;0;0;NA
"4696";2;"Afghanistan";2611;"Oranges, Mandarines";2013;145320;0;0;145004;139000;316;0;0;6320;0;0;0;0;NA
"4754";2;"Afghanistan";2614;"Citrus, Other";2013;42931;1500;0;39284;39931;2147;0;0;3000;0;0;0;0;NA
"4807";2;"Afghanistan";2615;"Bananas";2013;82363;0;0;82363;82363;0;0;0;0;0;0;0;0;NA
"4860";2;"Afghanistan";2617;"Apples and products";2013;78697;7084;0;67678;100;3935;0;0;78597;0;0;0;0;NA
"4918";2;"Afghanistan";2618;"Pineapples and products";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"4971";2;"Afghanistan";2619;"Dates";2013;593;0;0;593;593;0;0;0;0;0;0;0;0;NA
"5024";2;"Afghanistan";2620;"Grapes and products (excl wine)";2013;610570;97285;0;482756;0;30528;0;0;610570;0;0;0;1;NA
"5082";2;"Afghanistan";2625;"Fruits, Other";2013;307613;68700;0;222691;3825;17389;0;0;303788;0;1167;-1167;0;NA
"5140";2;"Afghanistan";2630;"Coffee and products";2013;62;0;0;62;62;0;0;0;0;0;0;0;0;NA
"5193";2;"Afghanistan";2633;"Cocoa Beans and products";2013;702;0;0;702;702;0;0;0;0;0;0;0;0;NA
"5246";2;"Afghanistan";2635;"Tea (including mate)";2013;106583;0;0;106583;106583;0;0;0;0;0;0;0;0;NA
"5299";2;"Afghanistan";2640;"Pepper";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"5352";2;"Afghanistan";2645;"Spices, Other";2013;12900;5087;0;7813;400;0;0;0;12500;0;0;0;0;NA
"5410";2;"Afghanistan";2655;"Wine";2013;142;0;0;142;142;0;0;0;0;0;0;0;0;NA
"5463";2;"Afghanistan";2656;"Beer";2013;2800;0;0;2800;2800;0;0;0;0;0;0;0;0;NA
"5516";2;"Afghanistan";2658;"Beverages, Alcoholic";2013;25;0;0;25;25;0;0;0;0;0;0;0;0;NA
"5550";2;"Afghanistan";2659;"Alcohol, Non-Food";2013;94;0;NA;NA;94;NA;94;NA;0;NA;NA;NA;0;0
"5604";2;"Afghanistan";2661;"Cotton lint";2013;16197;20207;0;0;2280;0;5990;0;13917;0;10000;-10000;0;NA
"5658";2;"Afghanistan";2662;"Jute";2013;20189;0;0;0;20189;0;20189;0;0;0;0;0;0;NA
"5711";2;"Afghanistan";2671;"Tobacco";2013;4410;0;0;0;4410;0;4410;0;0;0;0;0;0;NA
"5764";2;"Afghanistan";2731;"Bovine Meat";2013;140087;0;0;140087;6087;0;0;0;134000;0;0;0;0;NA
"5822";2;"Afghanistan";2732;"Mutton & Goat Meat";2013;150200;0;0;150200;0;0;0;0;150200;0;0;0;0;NA
"5880";2;"Afghanistan";2734;"Poultry Meat";2013;74789;0;0;74789;48389;0;0;0;26400;0;0;0;0;NA
"5938";2;"Afghanistan";2735;"Meat, Other";2013;11510;0;0;11510;0;0;0;0;11510;0;0;0;0;NA
"5996";2;"Afghanistan";2736;"Offals, Edible";2013;52561;0;0;52561;0;0;0;0;52561;0;0;0;0;NA
"6049";2;"Afghanistan";2737;"Fats, Animals, Raw";2013;14968;0;0;14968;510;0;0;0;14458;0;0;0;0;NA
"6102";2;"Afghanistan";2740;"Butter, Ghee";2013;35881;0;0;35881;158;0;0;0;35723;0;0;0;0;NA
"6155";2;"Afghanistan";2744;"Eggs";2013;46825;0;0;39672;28825;4682;0;0;18000;2470;0;0;1;NA
"6208";2;"Afghanistan";2745;"Honey";2013;2144;0;0;2144;144;0;0;0;2000;0;0;0;0;NA
"6261";2;"Afghanistan";2746;"Wool (Clean Eq.)";2013;24502;305;0;0;2;0;24197;0;24500;0;0;0;0;NA
"6314";2;"Afghanistan";2747;"Silk";2013;750;0;0;0;0;0;750;0;750;0;0;0;0;NA
"6367";2;"Afghanistan";2748;"Hides and skins";2013;40537;9957;0;0;0;1736;28844;0;40537;0;0;0;0;0
"6420";2;"Afghanistan";2805;"Rice (Milled Equivalent)";2013;460575;0;0;422307;119008;23910;0;0;341567;14357;0;0;1;NA
"6478";2;"Afghanistan";2818;"Sugar, Refined Equiv";2013;252019;0;0;234765;249765;0;0;0;2254;0;-17254;17254;0;NA
"6532";2;"Afghanistan";2848;"Milk - Excluding Butter";2013;2082928;31;123181;1901323;247728;58393;0;0;1835200;0;0;0;0;NA
"6585";2;"Afghanistan";2960;"Fish, Seafood";2013;2050;0;0;2050;0;0;0;0;2050;0;0;0;0;NA
"6638";3;"Albania";328;"Seed cotton";2013;820;NA;NA;NA;NA;NA;NA;820;820;NA;NA;NA;0;0
"6661";3;"Albania";677;"Hops";2013;1752;952;NA;NA;52;NA;NA;800;1700;NA;NA;NA;0;0
"6719";3;"Albania";866;"Cattle";2013;368197;0;NA;NA;25822;NA;NA;368197;342375;NA;NA;NA;0;NA
"6727";3;"Albania";946;"Buffaloes";2013;0;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;0;NA
"6780";3;"Albania";976;"Sheep";2013;1754494;0;NA;NA;1740;NA;NA;1754494;1752754;NA;NA;NA;0;NA
"6839";3;"Albania";1016;"Goats";2013;975164;0;NA;NA;1320;NA;NA;975164;973844;NA;NA;NA;0;NA
"6898";3;"Albania";1034;"Pigs";2013;198797;NA;NA;NA;85197;NA;NA;198797;113600;NA;NA;NA;0;NA
"6929";3;"Albania";1096;"Horses";2013;4;0;NA;NA;4;NA;NA;4;0;NA;NA;NA;0;NA
"6958";3;"Albania";1107;"Asses";2013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6960";3;"Albania";1110;"Mules";2013;5;NA;NA;NA;5;NA;NA;5;NA;NA;NA;NA;0;NA
"6991";3;"Albania";2000;"Fodder crops";2013;5604073;37;5604036;NA;991;NA;NA;NA;5603082;NA;NA;NA;0;0
"7044";3;"Albania";2029;"Poultry Birds";2013;27807000;0;NA;NA;6708000;NA;NA;27807000;21099000;NA;NA;NA;0;NA
"7103";3;"Albania";2511;"Wheat and products";2013;654254;4166;18000;439889;360254;44000;130000;0;294000;18199;0;0;0;NA
"7161";3;"Albania";2513;"Barley and products";2013;21001;0;6815;500;14031;846;1429;8968;6970;300;-2143;2143;0;NA
"7219";3;"Albania";2514;"Maize and products";2013;440461;61;360908;5685;68461;43725;3436;3344;372000;3300;-20000;20000;2;NA
"7277";3;"Albania";2515;"Rye and products";2013;3196;0;0;2175;296;721;0;0;2900;300;0;0;0;NA
"7335";3;"Albania";2516;"Oats";2013;27904;0;24716;413;904;1375;0;0;27000;1400;0;0;0;NA
"7393";3;"Albania";2517;"Millet and products";2013;1;0;1;0;1;0;0;0;0;0;0;0;0;NA
"7446";3;"Albania";2518;"Sorghum and products";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"7504";3;"Albania";2520;"Cereals, Other";2013;253;0;3;250;253;0;0;0;0;0;0;0;0;NA
"7557";3;"Albania";2531;"Potatoes and products";2013;263428;1521;74576;130918;26728;22933;4680;0;236700;28800;0;0;0;NA
"7615";3;"Albania";2532;"Cassava and products";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"7668";3;"Albania";2533;"Sweet potatoes";2013;0;436;0;1064;0;0;0;0;0;0;1500;-1500;0;NA
"7721";3;"Albania";2534;"Roots, Other";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"7774";3;"Albania";2537;"Sugar beet";2013;40000;0;1000;0;0;0;0;39000;40000;0;0;0;0;NA
"7832";3;"Albania";2543;"Sweeteners, Other";2013;95885;3280;0;92635;95885;0;0;0;0;0;30;-30;0;NA
"7885";3;"Albania";2544;"Molasses";2013;2299;0;2299;0;739;0;0;0;1560;0;0;0;0;NA
"7939";3;"Albania";2546;"Beans";2013;30499;118;900;16000;2499;8341;0;0;28000;3140;-2000;2000;0;NA
"7997";3;"Albania";2547;"Peas";2013;1;0;0;1;1;0;0;0;0;0;0;0;0;NA
"8050";3;"Albania";2549;"Pulses, Other and products";2013;3409;113;1355;1091;409;144;0;0;3000;706;0;0;0;NA
"8108";3;"Albania";2551;"Nuts and products";2013;15702;4164;0;13368;3071;170;0;0;12631;0;2000;-2000;0;NA
"8166";3;"Albania";2555;"Soyabeans";2013;307;0;0;7;7;6;0;269;300;25;0;0;0;NA
"8224";3;"Albania";2556;"Groundnuts (Shelled Eq)";2013;502;0;0;462;502;0;0;40;0;0;0;0;0;NA
"8277";3;"Albania";2557;"Sunflower seed";2013;1561;47;0;0;61;16;0;1464;1500;34;0;0;0;NA
"8335";3;"Albania";2558;"Rape and Mustardseed";2013;144;0;0;144;144;0;0;0;0;0;0;0;0;NA
"8388";3;"Albania";2559;"Cottonseed";2013;565;0;0;0;25;6;0;448;540;111;0;0;0;NA
"8442";3;"Albania";2560;"Coconuts - Incl Copra";2013;48;1;0;47;48;0;0;0;0;0;0;0;0;NA
"8495";3;"Albania";2561;"Sesame seed";2013;77;0;0;0;77;0;77;0;0;0;0;0;0;NA
"8548";3;"Albania";2562;"Palm kernels";2013;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
"8601";3;"Albania";2563;"Olives (including preserved)";2013;94327;2293;100;72985;2327;1842;0;7107;92000;0;-10000;10000;0;NA
"8659";3;"Albania";2570;"Oilcrops, Other";2013;20;0;1;0;20;0;19;0;0;0;0;0;0;NA
"8712";3;"Albania";2571;"Soyabean Oil";2013;368;0;0;368;325;0;0;0;43;0;0;0;0;NA
"8766";3;"Albania";2572;"Groundnut Oil";2013;21;0;0;21;5;0;0;0;16;0;0;0;0;NA
"8820";3;"Albania";2573;"Sunflowerseed Oil";2013;29976;1154;0;15822;29486;0;13000;0;490;0;0;0;0;NA
"8874";3;"Albania";2574;"Rape and Mustard Oil";2013;83;0;0;83;83;0;0;0;0;0;0;0;0;NA
"8927";3;"Albania";2575;"Cottonseed Oil";2013;120;0;0;0;44;0;120;0;76;0;0;0;0;NA
"8981";3;"Albania";2576;"Palmkernel Oil";2013;109;0;0;0;109;0;109;0;0;0;0;0;0;NA
"9034";3;"Albania";2577;"Palm Oil";2013;1970;74;0;0;1970;0;1896;0;0;0;0;0;0;NA
"9087";3;"Albania";2578;"Coconut Oil";2013;13;0;0;0;13;0;13;0;0;0;0;0;0;NA
"9140";3;"Albania";2579;"Sesameseed Oil";2013;2;0;0;0;2;0;2;0;0;0;0;0;0;NA
"9193";3;"Albania";2580;"Olive Oil";2013;1877;16;0;1800;1077;0;61;0;800;0;0;0;0;NA
"9247";3;"Albania";2582;"Maize Germ Oil";2013;876;21;0;855;876;0;0;0;0;0;0;0;0;NA
"9300";3;"Albania";2586;"Oilcrops Oil, Other";2013;3895;27;0;3543;3895;0;525;0;0;0;200;-200;0;NA
