system:index,area,class,co_mun,year,.geo
0_0000000000000000027d_0_0,130704.64749656747,0,3548054.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000027d_0_1,44.05559343872049,39,3548054.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000280_0_0,113609.22136898029,0,3548906.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000280_0_1,0.8305911560058594,39,3548906.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002b9_0_0,64046.71185162328,0,4100509.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002b9_0_1,2062.6777626728885,39,4100509.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002e1_0_0,23182.149173165693,0,4115002.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002e1_0_1,27.355434600830097,39,4115002.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002f8_0_0,85592.94439854793,0,4121000.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002f8_0_1,5828.011595191753,39,4121000.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000314_0_0,104808.74415607328,0,4301875.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000314_0_1,43.59131379394534,39,4301875.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000315_0_0,71705.6266382045,0,4308656.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000315_0_1,8086.768847754187,39,4308656.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000316_0_0,109643.16757687871,0,4310553.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000316_0_1,2366.8425612586693,39,4310553.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000317_0_0,321486.96258393826,0,4310603.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000317_0_1,17623.409929421876,39,4310603.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000318_0_0,153629.70718840128,0,4311718.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000318_0_1,14546.459553224284,39,4311718.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000319_0_0,155171.72815147106,0,4317707.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000319_0_1,15818.764133146826,39,4317707.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031a_0_0,331564.42195846647,0,4318002.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031a_0_1,29763.40087622158,39,4318002.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031b_0_0,568996.810876311,0,4322400.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031b_0_1,431.8009832275392,39,4322400.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031c_0_0,779301.6625417267,0,5000203.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031c_0_1,1408.4584535827642,39,5000203.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031d_0_0,430921.0052038241,0,5000252.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031d_0_1,8891.375944012247,39,5000252.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031e_0_0,365362.87552933185,0,5000609.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031e_0_1,54745.33163494832,39,5000609.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031f_0_0,290502.6845263051,0,5000708.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000031f_0_1,4287.84095425862,39,5000708.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000323_0_0,274880.60564934614,0,5001003.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000323_0_1,53.51558451538072,39,5001003.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000327_0_0,240723.68968580273,0,5001904.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000327_0_1,703.0547668090813,39,5001904.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000328_0_0,176651.74233621458,0,5002001.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000328_0_1,6076.71004260535,39,5002001.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000329_0_0,477703.22339511075,0,5002100.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000329_0_1,11315.838095342639,39,5002100.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000032a_0_0,250533.37728897302,0,5002159.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
