"Tabela 94 - Vacas ordenhadas"
"Variável - Vacas ordenhadas (Cabeças)"
"Nível";"Cód.";"Município";"Ano"
"MU";"1303106";"Nova Olinda do Norte (AM)";"1500"
"MU";"1303205";"Novo Airão (AM)";"80"
"MU";"1303304";"Novo Aripuanã (AM)";"1100"
"MU";"1303403";"Parintins (AM)";"22000"
"MU";"1303502";"Pauini (AM)";"840"
"MU";"1303536";"Presidente Figueiredo (AM)";"640"
"MU";"1303569";"Rio Preto da Eva (AM)";"300"
"MU";"1303601";"Santa Isabel do Rio Negro (AM)";"18"
"MU";"1303700";"Santo Antônio do Içá (AM)";"270"
"MU";"1303809";"São Gabriel da Cachoeira (AM)";"10"
"MU";"1303908";"São Paulo de Olivença (AM)";"50"
"MU";"1303957";"São Sebastião do Uatumã (AM)";"260"
"MU";"1304005";"Silves (AM)";"1800"
"MU";"1304062";"Tabatinga (AM)";"100"
"MU";"1304104";"Tapauá (AM)";"200"
"MU";"1304203";"Tefé (AM)";"90"
"MU";"1304237";"Tonantins (AM)";"168"
"MU";"1304260";"Uarini (AM)";"50"
"MU";"1304302";"Urucará (AM)";"200"
"MU";"1304401";"Urucurituba (AM)";"343"
"MU";"1400027";"Amajari (RR)";"2801"
"MU";"1400050";"Alto Alegre (RR)";"4450"
"MU";"1400100";"Boa Vista (RR)";"2420"
"MU";"1400159";"Bonfim (RR)";"2400"
"MU";"1400175";"Cantá (RR)";"1420"
"MU";"1400209";"Caracaraí (RR)";"1360"
"MU";"1400233";"Caroebe (RR)";"2300"
"MU";"1400282";"Iracema (RR)";"1850"
"MU";"1400308";"Mucajaí (RR)";"2700"
"MU";"1400407";"Normandia (RR)";"240"
"MU";"1400456";"Pacaraima (RR)";"410"
"MU";"1400472";"Rorainópolis (RR)";"3890"
"MU";"1400506";"São João da Baliza (RR)";"1140"
"MU";"1400605";"São Luiz (RR)";"2350"
"MU";"1400704";"Uiramutã (RR)";"420"
"MU";"1500107";"Abaetetuba (PA)";"60"
"MU";"1500131";"Abel Figueiredo (PA)";"5159"
"MU";"1500206";"Acará (PA)";"510"
"MU";"1500305";"Afuá (PA)";"190"
"MU";"1500347";"Água Azul do Norte (PA)";"11368"
"MU";"1500404";"Alenquer (PA)";"6737"
"MU";"1500503";"Almeirim (PA)";"4620"
"MU";"1500602";"Altamira (PA)";"7086"
"MU";"1500701";"Anajás (PA)";"231"
"MU";"1500800";"Ananindeua (PA)";"21"
"MU";"1500859";"Anapu (PA)";"2647"
"MU";"1500909";"Augusto Corrêa (PA)";"59"
"MU";"1500958";"Aurora do Pará (PA)";"6380"
"MU";"1501006";"Aveiro (PA)";"174"
"MU";"1501105";"Bagre (PA)";"99"
"MU";"1501204";"Baião (PA)";"1400"
"MU";"1501253";"Bannach (PA)";"3018"
