"Tabela 94 - Vacas ordenhadas"
"Variável - Vacas ordenhadas (Cabeças)"
"Nível";"Cód.";"Município";"Ano"
"MU";"2411056";"Tibau (RN)";"234"
"MU";"2411106";"Ruy Barbosa (RN)";"301"
"MU";"2411205";"Santa Cruz (RN)";"1069"
"MU";"2411403";"Santana do Matos (RN)";"2532"
"MU";"2411429";"Santana do Seridó (RN)";"997"
"MU";"2411502";"Santo Antônio (RN)";"4590"
"MU";"2411601";"São Bento do Norte (RN)";"241"
"MU";"2411700";"São Bento do Trairí (RN)";"187"
"MU";"2411809";"São Fernando (RN)";"3048"
"MU";"2411908";"São Francisco do Oeste (RN)";"1130"
"MU";"2412005";"São Gonçalo do Amarante (RN)";"3663"
"MU";"2412104";"São João do Sabugi (RN)";"2214"
"MU";"2412203";"São José de Mipibu (RN)";"8250"
"MU";"2412302";"São José do Campestre (RN)";"472"
"MU";"2412401";"São José do Seridó (RN)";"2498"
"MU";"2412500";"São Miguel (RN)";"850"
"MU";"2412559";"São Miguel do Gostoso (RN)";"922"
"MU";"2412609";"São Paulo do Potengi (RN)";"1283"
"MU";"2412708";"São Pedro (RN)";"758"
"MU";"2412807";"São Rafael (RN)";"729"
"MU";"2412906";"São Tomé (RN)";"749"
"MU";"2413003";"São Vicente (RN)";"1106"
"MU";"2413102";"Senador Elói de Souza (RN)";"330"
"MU";"2413201";"Senador Georgino Avelino (RN)";"690"
"MU";"2413300";"Serra de São Bento (RN)";"169"
"MU";"2413359";"Serra do Mel (RN)";"560"
"MU";"2413409";"Serra Negra do Norte (RN)";"3215"
"MU";"2413508";"Serrinha (RN)";"4244"
"MU";"2413557";"Serrinha dos Pintos (RN)";"674"
"MU";"2413607";"Severiano Melo (RN)";"1268"
"MU";"2413706";"Sítio Novo (RN)";"242"
"MU";"2413805";"Taboleiro Grande (RN)";"597"
"MU";"2413904";"Taipu (RN)";"6895"
"MU";"2414001";"Tangará (RN)";"661"
"MU";"2414100";"Tenente Ananias (RN)";"1713"
"MU";"2414159";"Tenente Laurentino Cruz (RN)";"495"
"MU";"2414209";"Tibau do Sul (RN)";"289"
"MU";"2414308";"Timbaúba dos Batistas (RN)";"917"
"MU";"2414407";"Touros (RN)";"2755"
"MU";"2414456";"Triunfo Potiguar (RN)";"341"
"MU";"2414506";"Umarizal (RN)";"1102"
"MU";"2414605";"Upanema (RN)";"701"
"MU";"2414704";"Várzea (RN)";"1620"
"MU";"2414753";"Venha-Ver (RN)";"442"
"MU";"2414803";"Vera Cruz (RN)";"1750"
"MU";"2414902";"Viçosa (RN)";"255"
"MU";"2415008";"Vila Flor (RN)";"38"
"MU";"2500106";"Água Branca (PB)";"450"
"MU";"2500205";"Aguiar (PB)";"1508"
"MU";"2500304";"Alagoa Grande (PB)";"1246"
"MU";"2500403";"Alagoa Nova (PB)";"1700"
"MU";"2500502";"Alagoinha (PB)";"684"
"MU";"2500536";"Alcantil (PB)";"1520"
"MU";"2500577";"Algodão de Jandaíra (PB)";"221"
"MU";"2500601";"Alhandra (PB)";"174"
"MU";"2500700";"São João do Rio do Peixe (PB)";"2625"
"MU";"2500734";"Amparo (PB)";"141"
"MU";"2500775";"Aparecida (PB)";"980"
"MU";"2500809";"Araçagi (PB)";"1915"
"MU";"2500908";"Arara (PB)";"631"
"MU";"2501005";"Araruna (PB)";"994"
"MU";"2501104";"Areia (PB)";"1077"
"MU";"2501153";"Areia de Baraúnas (PB)";"90"
"MU";"2501203";"Areial (PB)";"269"
"MU";"2501302";"Aroeiras (PB)";"1200"
"MU";"2501351";"Assunção (PB)";"500"
"MU";"2501401";"Baía da Traição (PB)";"52"
"MU";"2501500";"Bananeiras (PB)";"1845"
"MU";"2501534";"Baraúna (PB)";"186"
"MU";"2501575";"Barra de Santana (PB)";"2100"
"MU";"2501609";"Barra de Santa Rosa (PB)";"721"
"MU";"2501708";"Barra de São Miguel (PB)";"540"
"MU";"2501807";"Bayeux (PB)";"22"
"MU";"2501906";"Belém (PB)";"348"
"MU";"2502003";"Belém do Brejo do Cruz (PB)";"1362"
"MU";"2502052";"Bernardino Batista (PB)";"326"
"MU";"2502102";"Boa Ventura (PB)";"1134"
"MU";"2502151";"Boa Vista (PB)";"1050"
"MU";"2502201";"Bom Jesus (PB)";"250"
"MU";"2502300";"Bom Sucesso (PB)";"850"
"MU";"2502409";"Bonito de Santa Fé (PB)";"1685"
"MU";"2502508";"Boqueirão (PB)";"2250"
"MU";"2502607";"Igaracy (PB)";"1608"
"MU";"2502706";"Borborema (PB)";"200"
"MU";"2502805";"Brejo do Cruz (PB)";"1642"
"MU";"2502904";"Brejo dos Santos (PB)";"520"
"MU";"2503001";"Caaporã (PB)";"60"
"MU";"2503100";"Cabaceiras (PB)";"700"
"MU";"2503209";"Cabedelo (PB)";"15"
"MU";"2503308";"Cachoeira dos Índios (PB)";"1092"
"MU";"2503407";"Cacimba de Areia (PB)";"607"
"MU";"2503506";"Cacimba de Dentro (PB)";"503"
"MU";"2503555";"Cacimbas (PB)";"220"
"MU";"2503605";"Caiçara (PB)";"580"
"MU";"2503704";"Cajazeiras (PB)";"3115"
"MU";"2503753";"Cajazeirinhas (PB)";"1080"
"MU";"2503803";"Caldas Brandão (PB)";"195"
"MU";"2503902";"Camalaú (PB)";"358"
"MU";"2504009";"Campina Grande (PB)";"3200"
"MU";"2504033";"Capim (PB)";"96"
"MU";"2504074";"Caraúbas (PB)";"289"
"MU";"2504108";"Carrapateira (PB)";"326"
"MU";"2504157";"Casserengue (PB)";"440"
"MU";"2504207";"Catingueira (PB)";"767"
"MU";"2504306";"Catolé do Rocha (PB)";"2446"
"MU";"2504355";"Caturité (PB)";"2450"
"MU";"2504405";"Conceição (PB)";"2821"
"MU";"2504504";"Condado (PB)";"1052"
"MU";"2504603";"Conde (PB)";"720"
"MU";"2504702";"Congo (PB)";"442"
"MU";"2504801";"Coremas (PB)";"1914"
"MU";"2504850";"Coxixola (PB)";"286"
"MU";"2504900";"Cruz do Espírito Santo (PB)";"130"
"MU";"2505006";"Cubati (PB)";"847"
"MU";"2505105";"Cuité (PB)";"502"
"MU";"2505204";"Cuitegi (PB)";"205"
"MU";"2505238";"Cuité de Mamanguape (PB)";"205"
"MU";"2505279";"Curral de Cima (PB)";"164"
"MU";"2505303";"Curral Velho (PB)";"1029"
"MU";"2505352";"Damião (PB)";"288"
"MU";"2505402";"Desterro (PB)";"380"
"MU";"2505501";"Vista Serrana (PB)";"205"
"MU";"2505600";"Diamante (PB)";"1260"
"MU";"2505709";"Dona Inês (PB)";"667"
"MU";"2505808";"Duas Estradas (PB)";"280"
"MU";"2505907";"Emas (PB)";"585"
"MU";"2506004";"Esperança (PB)";"705"
"MU";"2506103";"Fagundes (PB)";"1350"
"MU";"2506202";"Frei Martinho (PB)";"159"
"MU";"2506251";"Gado Bravo (PB)";"1498"
"MU";"2506301";"Guarabira (PB)";"1725"
"MU";"2506400";"Gurinhém (PB)";"1230"
"MU";"2506509";"Gurjão (PB)";"494"
"MU";"2506608";"Ibiara (PB)";"1209"
"MU";"2506707";"Imaculada (PB)";"365"
"MU";"2506806";"Ingá (PB)";"666"
"MU";"2506905";"Itabaiana (PB)";"1513"
"MU";"2507002";"Itaporanga (PB)";"3208"
"MU";"2507101";"Itapororoca (PB)";"520"
"MU";"2507200";"Itatuba (PB)";"925"
"MU";"2507309";"Jacaraú (PB)";"130"
"MU";"2507408";"Jericó (PB)";"1152"
"MU";"2507507";"João Pessoa (PB)";"318"
"MU";"2507606";"Juarez Távora (PB)";"354"
"MU";"2507705";"Juazeirinho (PB)";"1524"
"MU";"2507804";"Junco do Seridó (PB)";"529"
"MU";"2507903";"Juripiranga (PB)";"110"
"MU";"2508000";"Juru (PB)";"582"
"MU";"2508109";"Lagoa (PB)";"484"
"MU";"2508208";"Lagoa de Dentro (PB)";"450"
"MU";"2508307";"Lagoa Seca (PB)";"720"
"MU";"2508406";"Lastro (PB)";"419"
"MU";"2508505";"Livramento (PB)";"600"
"MU";"2508554";"Logradouro (PB)";"475"
"MU";"2508604";"Lucena (PB)";"45"
"MU";"2508703";"Mãe d'Água (PB)";"108"
"MU";"2508802";"Malta (PB)";"598"
"MU";"2508901";"Mamanguape (PB)";"431"
"MU";"2509008";"Manaíra (PB)";"450"
"MU";"2509057";"Marcação (PB)";"49"
"MU";"2509107";"Mari (PB)";"410"
"MU";"2509156";"Marizópolis (PB)";"401"
"MU";"2509206";"Massaranduba (PB)";"2260"
"MU";"2509305";"Mataraca (PB)";"154"
"MU";"2509339";"Matinhas (PB)";"350"
"MU";"2509370";"Mato Grosso (PB)";"411"
"MU";"2509396";"Maturéia (PB)";"250"
"MU";"2509404";"Mogeiro (PB)";"1131"
"MU";"2509503";"Montadas (PB)";"192"
"MU";"2509602";"Monte Horebe (PB)";"418"
"MU";"2509701";"Monteiro (PB)";"1548"
"MU";"2509800";"Mulungu (PB)";"2150"
"MU";"2509909";"Natuba (PB)";"410"
"MU";"2510006";"Nazarezinho (PB)";"790"
"MU";"2510105";"Nova Floresta (PB)";"143"
"MU";"2510204";"Nova Olinda (PB)";"805"
"MU";"2510303";"Nova Palmeira (PB)";"832"
"MU";"2510402";"Olho d'Água (PB)";"1600"
"MU";"2510501";"Olivedos (PB)";"620"
"MU";"2510600";"Ouro Velho (PB)";"295"
"MU";"2510659";"Parari (PB)";"284"
"MU";"2510709";"Passagem (PB)";"200"
"MU";"2510808";"Patos (PB)";"1600"
"MU";"2510907";"Paulista (PB)";"3712"
"MU";"2511004";"Pedra Branca (PB)";"806"
"MU";"2511103";"Pedra Lavrada (PB)";"1580"
"MU";"2511202";"Pedras de Fogo (PB)";"220"
"MU";"2511301";"Piancó (PB)";"4025"
"MU";"2511400";"Picuí (PB)";"765"
"MU";"2511509";"Pilar (PB)";"842"
"MU";"2511608";"Pilões (PB)";"279"
"MU";"2511707";"Pilõezinhos (PB)";"315"
"MU";"2511806";"Pirpirituba (PB)";"845"
"MU";"2511905";"Pitimbu (PB)";"60"
"MU";"2512002";"Pocinhos (PB)";"1200"
"MU";"2512036";"Poço Dantas (PB)";"340"
"MU";"2512077";"Poço de José de Moura (PB)";"708"
"MU";"2512101";"Pombal (PB)";"4623"
"MU";"2512200";"Prata (PB)";"461"
"MU";"2512309";"Princesa Isabel (PB)";"1350"
"MU";"2512408";"Puxinanã (PB)";"400"
"MU";"2512507";"Queimadas (PB)";"3500"
"MU";"2512606";"Quixaba (PB)";"395"
"MU";"2512705";"Remígio (PB)";"517"
"MU";"2512721";"Pedro Régis (PB)";"218"
"MU";"2512747";"Riachão (PB)";"368"
"MU";"2512754";"Riachão do Bacamarte (PB)";"196"
"MU";"2512762";"Riachão do Poço (PB)";"159"
"MU";"2512788";"Riacho de Santo Antônio (PB)";"350"
"MU";"2512804";"Riacho dos Cavalos (PB)";"1617"
"MU";"2512903";"Rio Tinto (PB)";"217"
"MU";"2513000";"Salgadinho (PB)";"350"
"MU";"2513109";"Salgado de São Félix (PB)";"378"
"MU";"2513158";"Santa Cecília (PB)";"1050"
"MU";"2513208";"Santa Cruz (PB)";"737"
"MU";"2513307";"Santa Helena (PB)";"1222"
"MU";"2513356";"Santa Inês (PB)";"846"
"MU";"2513406";"Santa Luzia (PB)";"1641"
"MU";"2513505";"Santana de Mangueira (PB)";"1118"
"MU";"2513604";"Santana dos Garrotes (PB)";"2176"
"MU";"2513653";"Joca Claudino (PB)";"256"
"MU";"2513703";"Santa Rita (PB)";"188"
"MU";"2513802";"Santa Teresinha (PB)";"646"
"MU";"2513851";"Santo André (PB)";"359"
"MU";"2513901";"São Bento (PB)";"1983"
"MU";"2513927";"São Bentinho (PB)";"870"
"MU";"2513943";"São Domingos do Cariri (PB)";"410"
"MU";"2513968";"São Domingos (PB)";"714"
"MU";"2513984";"São Francisco (PB)";"437"
"MU";"2514008";"São João do Cariri (PB)";"541"
"MU";"2514107";"São João do Tigre (PB)";"342"
"MU";"2514206";"São José da Lagoa Tapada (PB)";"1415"
"MU";"2514305";"São José de Caiana (PB)";"1116"
"MU";"2514404";"São José de Espinharas (PB)";"1874"
"MU";"2514453";"São José dos Ramos (PB)";"230"
"MU";"2514503";"São José de Piranhas (PB)";"3278"
"MU";"2514552";"São José de Princesa (PB)";"440"
"MU";"2514602";"São José do Bonfim (PB)";"300"
"MU";"2514651";"São José do Brejo do Cruz (PB)";"710"
"MU";"2514701";"São José do Sabugi (PB)";"1200"
"MU";"2514800";"São José dos Cordeiros (PB)";"350"
"MU";"2514909";"São Mamede (PB)";"2200"
"MU";"2515005";"São Miguel de Taipu (PB)";"230"
"MU";"2515104";"São Sebastião de Lagoa de Roça (PB)";"252"
"MU";"2515203";"São Sebastião do Umbuzeiro (PB)";"294"
"MU";"2515302";"Sapé (PB)";"501"
"MU";"2515401";"São Vicente do Seridó (PB)";"575"
"MU";"2515500";"Serra Branca (PB)";"348"
"MU";"2515609";"Serra da Raiz (PB)";"348"
"MU";"2515708";"Serra Grande (PB)";"468"
"MU";"2515807";"Serra Redonda (PB)";"750"
"MU";"2515906";"Serraria (PB)";"735"
"MU";"2515930";"Sertãozinho (PB)";"200"
"MU";"2515971";"Sobrado (PB)";"166"
"MU";"2516003";"Solânea (PB)";"1287"
"MU";"2516102";"Soledade (PB)";"1500"
"MU";"2516151";"Sossêgo (PB)";"187"
"MU";"2516201";"Sousa (PB)";"6348"
"MU";"2516300";"Sumé (PB)";"945"
"MU";"2516409";"Tacima (PB)";"765"
"MU";"2516508";"Taperoá (PB)";"1790"
"MU";"2516607";"Tavares (PB)";"800"
"MU";"2516706";"Teixeira (PB)";"220"
"MU";"2516755";"Tenório (PB)";"210"
"MU";"2516805";"Triunfo (PB)";"1642"
"MU";"2516904";"Uiraúna (PB)";"1168"
"MU";"2517001";"Umbuzeiro (PB)";"1600"
"MU";"2517100";"Várzea (PB)";"550"
"MU";"2517209";"Vieirópolis (PB)";"807"
"MU";"2517407";"Zabelê (PB)";"256"
"MU";"2600054";"Abreu e Lima (PE)";"150"
"MU";"2600104";"Afogados da Ingazeira (PE)";"818"
"MU";"2600203";"Afrânio (PE)";"1860"
"MU";"2600302";"Agrestina (PE)";"1480"
"MU";"2600401";"Água Preta (PE)";"1350"
"MU";"2600500";"Águas Belas (PE)";"9594"
"MU";"2600609";"Alagoinha (PE)";"4177"
"MU";"2600708";"Aliança (PE)";"450"
"MU";"2600807";"Altinho (PE)";"1920"
"MU";"2600906";"Amaraji (PE)";"538"
"MU";"2601003";"Angelim (PE)";"2185"
"MU";"2601052";"Araçoiaba (PE)";"50"
"MU";"2601102";"Araripina (PE)";"2400"
"MU";"2601201";"Arcoverde (PE)";"4100"
"MU";"2601300";"Barra de Guabiraba (PE)";"2111"
"MU";"2601409";"Barreiros (PE)";"280"
"MU";"2601508";"Belém de Maria (PE)";"60"
"MU";"2601607";"Belém do São Francisco (PE)";"1890"
"MU";"2601706";"Belo Jardim (PE)";"6500"
"MU";"2601805";"Betânia (PE)";"1300"
"MU";"2601904";"Bezerros (PE)";"975"
"MU";"2602001";"Bodocó (PE)";"8764"
"MU";"2602100";"Bom Conselho (PE)";"16197"
"MU";"2602209";"Bom Jardim (PE)";"998"
"MU";"2602308";"Bonito (PE)";"1552"
"MU";"2602407";"Brejão (PE)";"3890"
"MU";"2602506";"Brejinho (PE)";"446"
"MU";"2602605";"Brejo da Madre de Deus (PE)";"1920"
"MU";"2602704";"Buenos Aires (PE)";"60"
"MU";"2602803";"Buíque (PE)";"20500"
"MU";"2602902";"Cabo de Santo Agostinho (PE)";"400"
"MU";"2603009";"Cabrobó (PE)";"2350"
"MU";"2603108";"Cachoeirinha (PE)";"2100"
"MU";"2603207";"Caetés (PE)";"3500"
"MU";"2603306";"Calçado (PE)";"770"
"MU";"2603405";"Calumbi (PE)";"460"
"MU";"2603454";"Camaragibe (PE)";"250"
"MU";"2603504";"Camocim de São Félix (PE)";"106"
"MU";"2603603";"Camutanga (PE)";"160"
"MU";"2603702";"Canhotinho (PE)";"7400"
"MU";"2603801";"Capoeiras (PE)";"5000"
"MU";"2603900";"Carnaíba (PE)";"792"
"MU";"2603926";"Carnaubeira da Penha (PE)";"1487"
"MU";"2604007";"Carpina (PE)";"1800"
"MU";"2604106";"Caruaru (PE)";"3120"
"MU";"2604155";"Casinhas (PE)";"2161"
"MU";"2604205";"Catende (PE)";"180"
"MU";"2604304";"Cedro (PE)";"2600"
"MU";"2604403";"Chã de Alegria (PE)";"45"
"MU";"2604502";"Chã Grande (PE)";"296"
"MU";"2604601";"Condado (PE)";"278"
"MU";"2604700";"Correntes (PE)";"5600"
"MU";"2604809";"Cortês (PE)";"143"
"MU";"2604908";"Cumaru (PE)";"680"
"MU";"2605004";"Cupira (PE)";"1000"
"MU";"2605103";"Custódia (PE)";"1500"
"MU";"2605152";"Dormentes (PE)";"1120"
"MU";"2605202";"Escada (PE)";"269"
"MU";"2605301";"Exu (PE)";"7350"
"MU";"2605400";"Feira Nova (PE)";"1000"
"MU";"2605459";"Fernando de Noronha (PE)";"30"
"MU";"2605509";"Ferreiros (PE)";"296"
"MU";"2605608";"Flores (PE)";"2400"
"MU";"2605707";"Floresta (PE)";"2600"
"MU";"2605806";"Frei Miguelinho (PE)";"488"
"MU";"2605905";"Gameleira (PE)";"255"
"MU";"2606002";"Garanhuns (PE)";"5200"
"MU";"2606101";"Glória do Goitá (PE)";"400"
"MU";"2606200";"Goiana (PE)";"400"
"MU";"2606309";"Granito (PE)";"2500"
"MU";"2606408";"Gravatá (PE)";"1678"
"MU";"2606507";"Iati (PE)";"4300"
"MU";"2606606";"Ibimirim (PE)";"1700"
"MU";"2606705";"Ibirajuba (PE)";"2100"
"MU";"2606804";"Igarassu (PE)";"468"
"MU";"2606903";"Iguaracy (PE)";"1138"
"MU";"2607000";"Inajá (PE)";"1350"
"MU";"2607109";"Ingazeira (PE)";"600"
"MU";"2607208";"Ipojuca (PE)";"400"
"MU";"2607307";"Ipubi (PE)";"500"
"MU";"2607406";"Itacuruba (PE)";"452"
"MU";"2607505";"Itaíba (PE)";"16500"
"MU";"2607604";"Ilha de Itamaracá (PE)";"140"
"MU";"2607653";"Itambé (PE)";"700"
"MU";"2607703";"Itapetim (PE)";"776"
"MU";"2607752";"Itapissuma (PE)";"50"
"MU";"2607802";"Itaquitinga (PE)";"60"
"MU";"2607901";"Jaboatão dos Guararapes (PE)";"1360"
"MU";"2607950";"Jaqueira (PE)";"60"
"MU";"2608008";"Jataúba (PE)";"900"
"MU";"2608057";"Jatobá (PE)";"500"
"MU";"2608107";"João Alfredo (PE)";"471"
"MU";"2608206";"Joaquim Nabuco (PE)";"135"
"MU";"2608255";"Jucati (PE)";"1700"
"MU";"2608305";"Jupi (PE)";"750"
"MU";"2608404";"Jurema (PE)";"1208"
"MU";"2608453";"Lagoa do Carro (PE)";"600"
"MU";"2608503";"Lagoa de Itaenga (PE)";"120"
"MU";"2608602";"Lagoa do Ouro (PE)";"4000"
"MU";"2608701";"Lagoa dos Gatos (PE)";"900"
"MU";"2608750";"Lagoa Grande (PE)";"1700"
"MU";"2608800";"Lajedo (PE)";"4850"
"MU";"2608909";"Limoeiro (PE)";"435"
"MU";"2609006";"Macaparana (PE)";"900"
"MU";"2609105";"Machados (PE)";"193"
"MU";"2609154";"Manari (PE)";"2300"
"MU";"2609204";"Maraial (PE)";"60"
"MU";"2609303";"Mirandiba (PE)";"3633"
"MU";"2609402";"Moreno (PE)";"500"
"MU";"2609501";"Nazaré da Mata (PE)";"120"
"MU";"2609600";"Olinda (PE)";"40"
"MU";"2609709";"Orobó (PE)";"1088"
"MU";"2609808";"Orocó (PE)";"560"
"MU";"2609907";"Ouricuri (PE)";"9500"
"MU";"2610004";"Palmares (PE)";"200"
"MU";"2610103";"Palmeirina (PE)";"2000"
"MU";"2610202";"Panelas (PE)";"1700"
"MU";"2610301";"Paranatama (PE)";"1000"
"MU";"2610400";"Parnamirim (PE)";"8602"
"MU";"2610509";"Passira (PE)";"2212"
"MU";"2610608";"Paudalho (PE)";"500"
"MU";"2610707";"Paulista (PE)";"193"
"MU";"2610806";"Pedra (PE)";"23000"
"MU";"2610905";"Pesqueira (PE)";"10000"
"MU";"2611002";"Petrolândia (PE)";"1650"
"MU";"2611101";"Petrolina (PE)";"2430"
"MU";"2611200";"Poção (PE)";"1450"
"MU";"2611309";"Pombos (PE)";"516"
"MU";"2611408";"Primavera (PE)";"184"
"MU";"2611507";"Quipapá (PE)";"1900"
"MU";"2611533";"Quixaba (PE)";"800"
"MU";"2611606";"Recife (PE)";"100"
"MU";"2611705";"Riacho das Almas (PE)";"900"
"MU";"2611804";"Ribeirão (PE)";"981"
"MU";"2611903";"Rio Formoso (PE)";"446"
"MU";"2612000";"Sairé (PE)";"1941"
"MU";"2612109";"Salgadinho (PE)";"520"
"MU";"2612208";"Salgueiro (PE)";"4207"
"MU";"2612307";"Saloá (PE)";"2500"
"MU";"2612406";"Sanharó (PE)";"6000"
"MU";"2612455";"Santa Cruz (PE)";"2774"
"MU";"2612471";"Santa Cruz da Baixa Verde (PE)";"1000"
"MU";"2612505";"Santa Cruz do Capibaribe (PE)";"1120"
"MU";"2612554";"Santa Filomena (PE)";"600"
"MU";"2612604";"Santa Maria da Boa Vista (PE)";"1250"
"MU";"2612703";"Santa Maria do Cambucá (PE)";"436"
"MU";"2612802";"Santa Terezinha (PE)";"371"
"MU";"2612901";"São Benedito do Sul (PE)";"180"
"MU";"2613008";"São Bento do Una (PE)";"19000"
"MU";"2613107";"São Caitano (PE)";"2200"
"MU";"2613206";"São João (PE)";"2200"
"MU";"2613305";"São Joaquim do Monte (PE)";"1067"
"MU";"2613404";"São José da Coroa Grande (PE)";"110"
"MU";"2613503";"São José do Belmonte (PE)";"3600"
"MU";"2613602";"São José do Egito (PE)";"2000"
"MU";"2613701";"São Lourenço da Mata (PE)";"400"
"MU";"2613800";"São Vicente Férrer (PE)";"700"
"MU";"2613909";"Serra Talhada (PE)";"7000"
"MU";"2614006";"Serrita (PE)";"6494"
"MU";"2614105";"Sertânia (PE)";"1300"
"MU";"2614204";"Sirinhaém (PE)";"135"
"MU";"2614303";"Moreilândia (PE)";"3690"
"MU";"2614402";"Solidão (PE)";"300"
"MU";"2614501";"Surubim (PE)";"3250"
"MU";"2614600";"Tabira (PE)";"1300"
"MU";"2614709";"Tacaimbó (PE)";"1750"
"MU";"2614808";"Tacaratu (PE)";"1200"
"MU";"2614857";"Tamandaré (PE)";"150"
"MU";"2615003";"Taquaritinga do Norte (PE)";"1280"
"MU";"2615102";"Terezinha (PE)";"2200"
"MU";"2615201";"Terra Nova (PE)";"1383"
"MU";"2615300";"Timbaúba (PE)";"2000"
"MU";"2615409";"Toritama (PE)";"650"
"MU";"2615508";"Tracunhaém (PE)";"180"
"MU";"2615607";"Trindade (PE)";"600"
"MU";"2615706";"Triunfo (PE)";"935"
"MU";"2615805";"Tupanatinga (PE)";"12000"
"MU";"2615904";"Tuparetama (PE)";"400"
"MU";"2616001";"Venturosa (PE)";"5500"
"MU";"2616100";"Verdejante (PE)";"1674"
"MU";"2616183";"Vertente do Lério (PE)";"361"
"MU";"2616209";"Vertentes (PE)";"1576"
"MU";"2616308";"Vicência (PE)";"430"
"MU";"2616407";"Vitória de Santo Antão (PE)";"700"
"MU";"2616506";"Xexéu (PE)";"95"
"MU";"2700102";"Água Branca (AL)";"1020"
"MU";"2700201";"Anadia (AL)";"760"
"MU";"2700300";"Arapiraca (AL)";"5869"
"MU";"2700409";"Atalaia (AL)";"600"
"MU";"2700508";"Barra de Santo Antônio (AL)";"70"
"MU";"2700607";"Barra de São Miguel (AL)";"..."
"MU";"2700706";"Batalha (AL)";"6486"
"MU";"2700805";"Belém (AL)";"1540"
"MU";"2700904";"Belo Monte (AL)";"3250"
"MU";"2701001";"Boca da Mata (AL)";"361"
"MU";"2701100";"Branquinha (AL)";"519"
"MU";"2701209";"Cacimbinhas (AL)";"4374"
"MU";"2701308";"Cajueiro (AL)";"360"
"MU";"2701357";"Campestre (AL)";"18"
"MU";"2701407";"Campo Alegre (AL)";"260"
"MU";"2701506";"Campo Grande (AL)";"820"
"MU";"2701605";"Canapi (AL)";"3064"
"MU";"2701704";"Capela (AL)";"300"
"MU";"2701803";"Carneiros (AL)";"985"
"MU";"2701902";"Chã Preta (AL)";"1400"
"MU";"2702009";"Coité do Nóia (AL)";"1157"
"MU";"2702108";"Colônia Leopoldina (AL)";"224"
"MU";"2702207";"Coqueiro Seco (AL)";"..."
"MU";"2702306";"Coruripe (AL)";"721"
"MU";"2702355";"Craíbas (AL)";"4162"
"MU";"2702405";"Delmiro Gouveia (AL)";"1085"
"MU";"2702504";"Dois Riachos (AL)";"2162"
"MU";"2702553";"Estrela de Alagoas (AL)";"2860"
"MU";"2702603";"Feira Grande (AL)";"1865"
"MU";"2702702";"Feliz Deserto (AL)";"25"
"MU";"2702801";"Flexeiras (AL)";"617"
"MU";"2702900";"Girau do Ponciano (AL)";"4989"
"MU";"2703007";"Ibateguara (AL)";"964"
"MU";"2703106";"Igaci (AL)";"3500"
"MU";"2703205";"Igreja Nova (AL)";"1080"
"MU";"2703304";"Inhapi (AL)";"2690"
"MU";"2703403";"Jacaré dos Homens (AL)";"5326"
"MU";"2703502";"Jacuípe (AL)";"45"
"MU";"2703601";"Japaratinga (AL)";"24"
"MU";"2703700";"Jaramataia (AL)";"2875"
"MU";"2703759";"Jequiá da Praia (AL)";"24"
"MU";"2703809";"Joaquim Gomes (AL)";"785"
"MU";"2703908";"Jundiá (AL)";"85"
"MU";"2704005";"Junqueiro (AL)";"384"
"MU";"2704104";"Lagoa da Canoa (AL)";"1225"
"MU";"2704203";"Limoeiro de Anadia (AL)";"468"
"MU";"2704302";"Maceió (AL)";"906"
"MU";"2704401";"Major Isidoro (AL)";"7500"
"MU";"2704500";"Maragogi (AL)";"230"
"MU";"2704609";"Maravilha (AL)";"2320"
"MU";"2704708";"Marechal Deodoro (AL)";"60"
"MU";"2704807";"Maribondo (AL)";"950"
"MU";"2704906";"Mar Vermelho (AL)";"550"
"MU";"2705002";"Mata Grande (AL)";"2637"
"MU";"2705101";"Matriz de Camaragibe (AL)";"160"
"MU";"2705200";"Messias (AL)";"91"
"MU";"2705309";"Minador do Negrão (AL)";"2390"
"MU";"2705408";"Monteirópolis (AL)";"1845"
"MU";"2705507";"Murici (AL)";"1391"
"MU";"2705606";"Novo Lino (AL)";"299"
"MU";"2705705";"Olho d'Água das Flores (AL)";"2100"
"MU";"2705804";"Olho d'Água do Casado (AL)";"1340"
"MU";"2705903";"Olho d'Água Grande (AL)";"890"
"MU";"2706000";"Olivença (AL)";"2373"
"MU";"2706109";"Ouro Branco (AL)";"1808"
"MU";"2706208";"Palestina (AL)";"765"
"MU";"2706307";"Palmeira dos Índios (AL)";"6200"
"MU";"2706406";"Pão de Açúcar (AL)";"6774"
"MU";"2706422";"Pariconha (AL)";"440"
"MU";"2706448";"Paripueira (AL)";"45"
"MU";"2706505";"Passo de Camaragibe (AL)";"220"
"MU";"2706604";"Paulo Jacinto (AL)";"680"
"MU";"2706703";"Penedo (AL)";"378"
"MU";"2706802";"Piaçabuçu (AL)";"96"
"MU";"2706901";"Pilar (AL)";"210"
"MU";"2707008";"Pindoba (AL)";"205"
"MU";"2707107";"Piranhas (AL)";"2020"
"MU";"2707206";"Poço das Trincheiras (AL)";"2467"
"MU";"2707305";"Porto Calvo (AL)";"100"
"MU";"2707404";"Porto de Pedras (AL)";"145"
"MU";"2707503";"Porto Real do Colégio (AL)";"942"
"MU";"2707602";"Quebrangulo (AL)";"2280"
"MU";"2707701";"Rio Largo (AL)";"58"
"MU";"2707800";"Roteiro (AL)";"..."
"MU";"2707909";"Santa Luzia do Norte (AL)";"16"
