"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Município";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Município";"2013"
"Nível";"Cód.";"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Suíno - matrizes de suínos";"Caprino";"Ovino";"Galináceos - total";"Galináceos - galinhas";"Codornas"
"MU";"1101708";"Urupá (RO)";"162567";"9";"3314";"3313";"585";"91";"1161";"66497";"29923";"-"
"MU";"1101757";"Vale do Anari (RO)";"114935";"46";"2372";"2383";"280";"46";"1096";"34113";"15323";"-"
"MU";"1101807";"Vale do Paraíso (RO)";"163118";"285";"2844";"2115";"375";"118";"1339";"37449";"16852";"-"
"MU";"1200013";"Acrelândia (AC)";"176318";"1";"4949";"3630";"712";"267";"2519";"68015";"17208";"-"
"MU";"1200054";"Assis Brasil (AC)";"39318";"69";"1956";"5553";"311";"701";"3857";"50743";"12838";"-"
"MU";"1200104";"Brasiléia (AC)";"202584";"222";"4222";"11226";"1820";"2983";"4846";"249975";"40496";"-"
"MU";"1200138";"Bujari (AC)";"206059";"343";"3853";"2249";"160";"267";"4014";"65968";"16194";"6043"
"MU";"1200179";"Capixaba (AC)";"147187";"396";"2085";"3605";"259";"278";"2338";"77844";"18465";"-"
"MU";"1200203";"Cruzeiro do Sul (AC)";"35266";"385";"842";"6954";"771";"464";"1485";"187616";"52624";"50"
"MU";"1200252";"Epitaciolândia (AC)";"83657";"42";"1825";"3527";"248";"940";"1749";"129076";"24137";"-"
"MU";"1200302";"Feijó (AC)";"81324";"375";"2801";"19982";"3596";"380";"9848";"106605";"31981";"-"
"MU";"1200328";"Jordão (AC)";"6293";"21";"72";"1925";"508";"62";"1215";"14785";"4140";"-"
"MU";"1200336";"Mâncio Lima (AC)";"13271";"33";"226";"3056";"347";"262";"743";"47405";"11495";"-"
"MU";"1200344";"Manoel Urbano (AC)";"29657";"24";"1120";"2258";"218";"385";"513";"18110";"3905";"-"
"MU";"1200351";"Marechal Thaumaturgo (AC)";"14828";"-";"53";"7333";"637";"387";"1485";"60543";"13987";"-"
