"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Município";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Município";"2013"
"Nível";"Cód.";"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Suíno - matrizes de suínos";"Caprino";"Ovino";"Galináceos - total";"Galináceos - galinhas";"Codornas"
"MU";"2506251";"Gado Bravo (PB)";"7518";"-";"270";"1010";"150";"1210";"790";"9200";"2900";"-"
"MU";"2506301";"Guarabira (PB)";"13152";"18";"593";"1558";"415";"426";"665";"441390";"6500";"15000"
"MU";"2506400";"Gurinhém (PB)";"13851";"-";"1350";"641";"147";"1434";"2550";"137351";"10200";"-"
"MU";"2506509";"Gurjão (PB)";"3127";"-";"180";"398";"137";"8474";"4433";"5666";"2541";"-"
"MU";"2506608";"Ibiara (PB)";"4030";"-";"229";"1300";"396";"966";"1202";"9170";"4550";"-"
"MU";"2506707";"Imaculada (PB)";"4925";"-";"145";"420";"96";"2805";"1237";"4800";"2354";"-"
"MU";"2506806";"Ingá (PB)";"10772";"-";"454";"389";"77";"1488";"1335";"18645";"3475";"-"
"MU";"2506905";"Itabaiana (PB)";"11701";"-";"755";"633";"165";"1029";"1265";"110314";"13399";"231"
"MU";"2507002";"Itaporanga (PB)";"10696";"-";"400";"1824";"596";"1952";"2902";"22044";"10933";"-"
"MU";"2507101";"Itapororoca (PB)";"7528";"-";"175";"335";"94";"343";"295";"39976";"4000";"-"
"MU";"2507200";"Itatuba (PB)";"10608";"151";"640";"767";"137";"1533";"2832";"35514";"4745";"-"
"MU";"2507309";"Jacaraú (PB)";"4365";"-";"330";"272";"27";"500";"409";"23153";"2289";"-"
"MU";"2507408";"Jericó (PB)";"3840";"-";"75";"71";"15";"632";"549";"79335";"1750";"-"
"MU";"2507507";"João Pessoa (PB)";"4250";"-";"480";"820";"80";"239";"320";"150838";"6090";"80000"
"MU";"2507606";"Juarez Távora (PB)";"2431";"-";"114";"326";"59";"744";"630";"6135";"2810";"-"
"MU";"2507705";"Juazeirinho (PB)";"4200";"-";"264";"891";"284";"6600";"2061";"8993";"4861";"-"
"MU";"2507804";"Junco do Seridó (PB)";"1775";"-";"46";"293";"88";"738";"180";"2756";"1100";"-"
"MU";"2507903";"Juripiranga (PB)";"2728";"-";"113";"421";"101";"260";"256";"4263";"1432";"-"
"MU";"2508000";"Juru (PB)";"4203";"-";"152";"1500";"300";"1700";"992";"14100";"6054";"-"
"MU";"2508109";"Lagoa (PB)";"1615";"-";"40";"169";"21";"748";"779";"5838";"2765";"-"
"MU";"2508208";"Lagoa de Dentro (PB)";"4318";"-";"215";"252";"56";"253";"309";"9448";"3135";"-"
"MU";"2508307";"Lagoa Seca (PB)";"4240";"-";"250";"720";"90";"725";"1500";"380000";"20000";"-"
"MU";"2508406";"Lastro (PB)";"1372";"-";"54";"210";"70";"130";"500";"2024";"713";"-"
"MU";"2508505";"Livramento (PB)";"3051";"-";"189";"345";"65";"6395";"2459";"4664";"2100";"-"
"MU";"2508554";"Logradouro (PB)";"3120";"-";"135";"220";"58";"148";"248";"4825";"1240";"-"
"MU";"2508604";"Lucena (PB)";"380";"-";"90";"144";"20";"123";"87";"6072";"1296";"-"
"MU";"2508703";"Mãe d'Água (PB)";"1320";"-";"75";"250";"50";"1050";"350";"5700";"2090";"-"
"MU";"2508802";"Malta (PB)";"1995";"-";"85";"67";"22";"455";"1180";"2704";"568";"-"
"MU";"2508901";"Mamanguape (PB)";"4324";"-";"240";"480";"60";"349";"391";"271754";"3700";"-"
"MU";"2509008";"Manaíra (PB)";"4139";"-";"110";"810";"260";"3540";"1520";"8700";"3432";"-"
"MU";"2509057";"Marcação (PB)";"470";"-";"110";"100";"15";"105";"128";"13689";"1848";"-"
"MU";"2509107";"Mari (PB)";"7200";"16";"270";"560";"75";"577";"560";"122286";"2320";"12000"
"MU";"2509156";"Marizópolis (PB)";"1271";"-";"21";"247";"82";"211";"390";"1412";"460";"-"
"MU";"2509206";"Massaranduba (PB)";"7832";"120";"800";"530";"120";"1450";"2100";"35000";"10600";"280"
"MU";"2509305";"Mataraca (PB)";"1748";"-";"80";"126";"15";"92";"115";"8589";"1971";"-"
"MU";"2509339";"Matinhas (PB)";"1100";"10";"45";"180";"100";"200";"240";"5000";"1400";"-"
"MU";"2509370";"Mato Grosso (PB)";"1372";"-";"62";"23";"10";"200";"175";"4264";"1119";"-"
"MU";"2509396";"Maturéia (PB)";"1840";"-";"35";"920";"198";"1420";"424";"10000";"4390";"-"
"MU";"2509404";"Mogeiro (PB)";"9352";"-";"1087";"924";"297";"1400";"1931";"120118";"8379";"842"
"MU";"2509503";"Montadas (PB)";"1478";"-";"38";"525";"216";"481";"682";"27762";"5796";"-"
"MU";"2509602";"Monte Horebe (PB)";"2427";"-";"37";"513";"90";"135";"328";"3874";"1080";"-"
"MU";"2509701";"Monteiro (PB)";"15278";"-";"671";"1391";"367";"22307";"11812";"117377";"15398";"-"
"MU";"2509800";"Mulungu (PB)";"12200";"-";"531";"835";"194";"846";"1940";"186231";"9378";"20000"
"MU";"2509909";"Natuba (PB)";"4100";"-";"372";"479";"96";"1102";"1524";"13071";"4274";"-"
"MU";"2510006";"Nazarezinho (PB)";"6404";"-";"35";"799";"137";"653";"752";"6748";"1825";"-"
"MU";"2510105";"Nova Floresta (PB)";"1313";"-";"66";"420";"143";"233";"235";"5299";"2036";"-"
"MU";"2510204";"Nova Olinda (PB)";"2300";"-";"97";"872";"242";"580";"742";"7600";"4120";"-"
"MU";"2510303";"Nova Palmeira (PB)";"2833";"-";"82";"380";"60";"2000";"862";"3201";"1300";"-"
"MU";"2510402";"Olho d'Água (PB)";"7350";"-";"132";"900";"250";"5080";"2940";"11000";"4800";"-"
"MU";"2510501";"Olivedos (PB)";"2803";"-";"42";"340";"189";"4848";"1815";"5100";"1943";"-"
"MU";"2510600";"Ouro Velho (PB)";"2221";"-";"179";"327";"81";"2008";"1343";"90207";"4113";"-"
"MU";"2510659";"Parari (PB)";"1138";"-";"115";"250";"64";"6660";"2117";"7447";"2373";"-"
"MU";"2510709";"Passagem (PB)";"898";"-";"65";"130";"33";"3230";"1150";"2700";"820";"-"
"MU";"2510808";"Patos (PB)";"8400";"-";"215";"1200";"290";"2400";"2900";"14000";"4000";"-"
"MU";"2510907";"Paulista (PB)";"12376";"-";"250";"1353";"223";"1111";"5620";"13571";"6527";"-"
"MU";"2511004";"Pedra Branca (PB)";"2520";"-";"136";"634";"238";"345";"690";"6004";"2772";"-"
"MU";"2511103";"Pedra Lavrada (PB)";"2820";"-";"145";"410";"115";"2300";"890";"6230";"2980";"-"
"MU";"2511202";"Pedras de Fogo (PB)";"2987";"-";"451";"551";"128";"1626";"667";"1676298";"1007544";"-"
"MU";"2511301";"Piancó (PB)";"13416";"-";"376";"897";"276";"1425";"3276";"23125";"9129";"-"
"MU";"2511400";"Picuí (PB)";"6959";"-";"80";"725";"170";"1360";"2495";"29324";"5331";"-"
"MU";"2511509";"Pilar (PB)";"5116";"-";"320";"593";"165";"772";"531";"17031";"6124";"-"
"MU";"2511608";"Pilões (PB)";"2435";"-";"149";"220";"62";"444";"313";"22284";"9328";"-"
"MU";"2511707";"Pilõezinhos (PB)";"1789";"-";"102";"363";"84";"344";"117";"38237";"12535";"-"
"MU";"2511806";"Pirpirituba (PB)";"4577";"8";"184";"242";"77";"343";"205";"9334";"4235";"210"
"MU";"2511905";"Pitimbu (PB)";"747";"-";"64";"90";"15";"120";"319";"27597";"1474";"-"
"MU";"2512002";"Pocinhos (PB)";"5100";"-";"240";"700";"190";"7000";"7100";"1300000";"28000";"-"
"MU";"2512036";"Poço Dantas (PB)";"1400";"-";"40";"365";"88";"220";"300";"2718";"810";"-"
"MU";"2512077";"Poço de José de Moura (PB)";"3602";"-";"58";"508";"85";"300";"502";"5600";"1357";"-"
"MU";"2512101";"Pombal (PB)";"15413";"-";"300";"1090";"150";"1470";"7995";"26446";"14005";"-"
"MU";"2512200";"Prata (PB)";"2181";"-";"226";"361";"93";"5993";"4411";"25737";"3654";"-"
"MU";"2512309";"Princesa Isabel (PB)";"6950";"-";"480";"3900";"1500";"6545";"3500";"195000";"136900";"-"
"MU";"2512408";"Puxinanã (PB)";"4268";"-";"250";"800";"180";"600";"1000";"400000";"20000";"550"
"MU";"2512507";"Queimadas (PB)";"17200";"-";"400";"2441";"370";"2200";"2589";"125000";"21000";"800"
"MU";"2512606";"Quixaba (PB)";"1151";"-";"115";"180";"55";"841";"435";"1700";"682";"-"
"MU";"2512705";"Remígio (PB)";"4800";"-";"62";"501";"175";"1475";"1183";"10308";"5081";"-"
"MU";"2512721";"Pedro Régis (PB)";"2634";"-";"199";"280";"28";"330";"296";"20697";"2200";"-"
"MU";"2512747";"Riachão (PB)";"2973";"-";"158";"233";"77";"201";"321";"5935";"1900";"-"
"MU";"2512754";"Riachão do Bacamarte (PB)";"1901";"-";"330";"350";"80";"953";"1281";"10955";"3375";"-"
"MU";"2512762";"Riachão do Poço (PB)";"2142";"-";"120";"125";"14";"356";"334";"12671";"1306";"-"
"MU";"2512788";"Riacho de Santo Antônio (PB)";"1800";"-";"40";"270";"80";"2300";"2200";"9000";"1200";"-"
"MU";"2512804";"Riacho dos Cavalos (PB)";"5390";"-";"180";"194";"50";"648";"863";"7783";"4530";"-"
"MU";"2512903";"Rio Tinto (PB)";"3100";"210";"230";"280";"40";"270";"180";"29639";"2970";"-"
"MU";"2513000";"Salgadinho (PB)";"1100";"-";"37";"250";"90";"1300";"350";"3800";"1400";"-"
"MU";"2513109";"Salgado de São Félix (PB)";"5833";"-";"567";"386";"78";"2022";"2089";"23565";"9772";"-"
"MU";"2513158";"Santa Cecília (PB)";"4300";"-";"170";"620";"190";"1400";"1000";"26000";"5100";"-"
"MU";"2513208";"Santa Cruz (PB)";"5371";"-";"70";"483";"124";"341";"1258";"5987";"1886";"-"
"MU";"2513307";"Santa Helena (PB)";"5975";"-";"155";"453";"133";"227";"1278";"6574";"1232";"-"
"MU";"2513356";"Santa Inês (PB)";"2645";"-";"141";"865";"247";"876";"1276";"5522";"2952";"-"
"MU";"2513406";"Santa Luzia (PB)";"5285";"-";"200";"548";"190";"2120";"820";"8210";"1200";"-"
"MU";"2513505";"Santana de Mangueira (PB)";"3726";"-";"248";"1070";"287";"1276";"2576";"10044";"4695";"-"
"MU";"2513604";"Santana dos Garrotes (PB)";"7254";"-";"154";"1050";"300";"1047";"1058";"10415";"4956";"-"
"MU";"2513653";"Joca Claudino (PB)";"1200";"-";"22";"317";"112";"335";"377";"2240";"960";"-"
"MU";"2513703";"Santa Rita (PB)";"3700";"15";"154";"345";"44";"300";"330";"257982";"3275";"52000"
"MU";"2513802";"Santa Teresinha (PB)";"4900";"-";"192";"690";"200";"3150";"3580";"17904";"6904";"-"
"MU";"2513851";"Santo André (PB)";"2355";"-";"92";"327";"97";"6677";"3482";"4231";"2612";"-"
"MU";"2513901";"São Bento (PB)";"6610";"-";"175";"532";"70";"415";"2021";"3698";"1405";"-"
"MU";"2513927";"São Bentinho (PB)";"2902";"-";"75";"111";"15";"332";"2160";"3233";"1913";"-"
"MU";"2513943";"São Domingos do Cariri (PB)";"1640";"-";"120";"250";"110";"5800";"3100";"8000";"3100";"-"
"MU";"2513968";"São Domingos (PB)";"2380";"-";"95";"146";"26";"170";"1515";"5640";"2806";"-"
"MU";"2513984";"São Francisco (PB)";"2810";"-";"59";"400";"90";"230";"433";"5441";"1441";"-"
"MU";"2514008";"São João do Cariri (PB)";"4009";"-";"220";"387";"120";"8111";"5600";"7909";"2486";"-"
"MU";"2514107";"São João do Tigre (PB)";"2377";"-";"358";"700";"171";"15117";"4711";"7977";"3209";"-"
"MU";"2514206";"São José da Lagoa Tapada (PB)";"6050";"-";"75";"463";"110";"635";"997";"7089";"2010";"-"
"MU";"2514305";"São José de Caiana (PB)";"3720";"-";"69";"1057";"451";"516";"725";"16760";"8528";"-"
"MU";"2514404";"São José de Espinharas (PB)";"10473";"-";"310";"650";"300";"3602";"4650";"9200";"3900";"-"
"MU";"2514453";"São José dos Ramos (PB)";"4185";"-";"391";"484";"102";"963";"581";"23368";"9236";"-"
"MU";"2514503";"São José de Piranhas (PB)";"17367";"-";"156";"1275";"296";"723";"1330";"18238";"6388";"-"
"MU";"2514552";"São José de Princesa (PB)";"3242";"-";"206";"1500";"450";"2380";"2130";"10500";"4200";"-"
"MU";"2514602";"São José do Bonfim (PB)";"1500";"-";"100";"380";"102";"2000";"1060";"2300";"700";"-"
"MU";"2514651";"São José do Brejo do Cruz (PB)";"2365";"-";"200";"166";"35";"283";"2650";"5730";"3097";"-"
"MU";"2514701";"São José do Sabugi (PB)";"3400";"-";"87";"371";"140";"1848";"1769";"2864";"1565";"-"
"MU";"2514800";"São José dos Cordeiros (PB)";"1918";"-";"155";"484";"91";"5482";"2333";"7577";"2841";"-"
"MU";"2514909";"São Mamede (PB)";"5569";"-";"348";"551";"150";"3213";"1400";"17471";"4286";"-"
"MU";"2515005";"São Miguel de Taipu (PB)";"2937";"-";"303";"341";"106";"766";"589";"14079";"3437";"-"
"MU";"2515104";"São Sebastião de Lagoa de Roça (PB)";"2600";"-";"59";"727";"214";"195";"691";"17023";"5881";"-"
"MU";"2515203";"São Sebastião do Umbuzeiro (PB)";"2312";"-";"270";"467";"144";"13212";"5442";"5717";"3011";"-"
"MU";"2515302";"Sapé (PB)";"6720";"35";"467";"460";"53";"614";"921";"370459";"2181";"2618"
"MU";"2515401";"São Vicente do Seridó (PB)";"3214";"-";"50";"380";"90";"1800";"600";"5598";"2200";"-"
"MU";"2515500";"Serra Branca (PB)";"2993";"-";"311";"376";"92";"16017";"11202";"8973";"3476";"-"
"MU";"2515609";"Serra da Raiz (PB)";"2750";"-";"135";"278";"120";"130";"220";"35345";"3688";"-"
"MU";"2515708";"Serra Grande (PB)";"1560";"-";"62";"690";"242";"391";"426";"6526";"3317";"-"
"MU";"2515807";"Serra Redonda (PB)";"2357";"-";"180";"340";"105";"600";"300";"20000";"8000";"-"
"MU";"2515906";"Serraria (PB)";"3957";"-";"235";"234";"82";"205";"285";"6648";"2304";"-"
"MU";"2515930";"Sertãozinho (PB)";"1824";"-";"101";"185";"45";"91";"122";"120200";"52980";"-"
"MU";"2515971";"Sobrado (PB)";"1800";"-";"96";"330";"40";"280";"230";"46118";"1431";"-"
"MU";"2516003";"Solânea (PB)";"9101";"12";"585";"892";"198";"860";"1787";"37898";"6476";"-"
"MU";"2516102";"Soledade (PB)";"8334";"-";"140";"420";"130";"15358";"4500";"120400";"57151";"-"
"MU";"2516151";"Sossêgo (PB)";"1900";"-";"59";"379";"98";"544";"829";"5109";"2285";"-"
"MU";"2516201";"Sousa (PB)";"16288";"-";"313";"2175";"658";"1900";"4622";"98398";"27590";"-"
"MU";"2516300";"Sumé (PB)";"6118";"-";"471";"1831";"183";"13117";"7475";"35783";"9239";"-"
"MU";"2516409";"Tacima (PB)";"14803";"-";"300";"706";"138";"428";"1308";"8250";"2524";"-"
"MU";"2516508";"Taperoá (PB)";"5300";"-";"263";"690";"102";"10657";"7760";"12585";"5500";"-"
"MU";"2516607";"Tavares (PB)";"6800";"-";"167";"2200";"680";"980";"850";"19400";"8650";"-"
"MU";"2516706";"Teixeira (PB)";"1859";"-";"42";"350";"115";"996";"182";"11800";"5400";"-"
"MU";"2516755";"Tenório (PB)";"952";"-";"24";"269";"110";"2857";"1700";"3700";"1700";"-"
"MU";"2516805";"Triunfo (PB)";"6299";"-";"139";"745";"144";"377";"1287";"9768";"2480";"-"
"MU";"2516904";"Uiraúna (PB)";"6063";"-";"90";"1010";"215";"873";"1370";"13177";"4255";"-"
"MU";"2517001";"Umbuzeiro (PB)";"5350";"-";"280";"920";"320";"1324";"1059";"17800";"7800";"-"
"MU";"2517100";"Várzea (PB)";"2561";"-";"67";"150";"56";"2000";"1200";"2300";"1254";"-"
"MU";"2517209";"Vieirópolis (PB)";"3254";"-";"49";"431";"80";"351";"678";"5232";"1567";"-"
"MU";"2517407";"Zabelê (PB)";"1698";"-";"83";"328";"92";"8903";"4114";"5772";"2477";"-"
"MU";"2600054";"Abreu e Lima (PE)";"1000";"-";"150";"500";"300";"300";"700";"40000";"13000";"8000"
"MU";"2600104";"Afogados da Ingazeira (PE)";"9763";"-";"400";"2182";"390";"6735";"9947";"36700";"8444";"6000"
"MU";"2600203";"Afrânio (PE)";"16288";"-";"685";"4453";"2193";"47971";"93712";"22400";"17300";"-"
"MU";"2600302";"Agrestina (PE)";"16100";"-";"500";"1250";"320";"3450";"2850";"195950";"115473";"-"
"MU";"2600401";"Água Preta (PE)";"18736";"1517";"1780";"120";"25";"800";"3300";"7000";"2400";"-"
"MU";"2600500";"Águas Belas (PE)";"31832";"42";"990";"1240";"86";"4440";"18423";"23100";"5910";"-"
"MU";"2600609";"Alagoinha (PE)";"11845";"16";"520";"2600";"450";"1645";"1570";"84000";"5500";"-"
"MU";"2600708";"Aliança (PE)";"4300";"-";"53";"443";"143";"285";"178";"166239";"106000";"-"
"MU";"2600807";"Altinho (PE)";"18800";"-";"725";"1950";"430";"2980";"2680";"32800";"2180";"-"
"MU";"2600906";"Amaraji (PE)";"5213";"28";"370";"199";"138";"126";"331";"69653";"39428";"258"
"MU";"2601003";"Angelim (PE)";"5000";"-";"332";"300";"20";"982";"1749";"146000";"110000";"-"
"MU";"2601052";"Araçoiaba (PE)";"300";"-";"40";"40";"15";"20";"110";"5000";"1500";"-"
"MU";"2601102";"Araripina (PE)";"21535";"-";"1720";"5950";"820";"2920";"9800";"52000";"15000";"-"
"MU";"2601201";"Arcoverde (PE)";"10800";"-";"1200";"1700";"450";"7500";"8500";"100000";"15000";"-"
"MU";"2601300";"Barra de Guabiraba (PE)";"7556";"-";"221";"256";"212";"234";"198";"2672";"2440";"-"
"MU";"2601409";"Barreiros (PE)";"8400";"280";"300";"50";"4";"130";"380";"6200";"3300";"300"
"MU";"2601508";"Belém de Maria (PE)";"6634";"210";"300";"100";"9";"180";"220";"11000";"1000";"600"
"MU";"2601607";"Belém do São Francisco (PE)";"6156";"-";"1800";"2780";"896";"52074";"26486";"26790";"5000";"-"
"MU";"2601706";"Belo Jardim (PE)";"17000";"-";"1500";"4300";"1200";"1800";"2200";"920000";"465000";"-"
"MU";"2601805";"Betânia (PE)";"4490";"-";"954";"1957";"850";"41607";"14553";"10000";"4500";"-"
"MU";"2601904";"Bezerros (PE)";"15785";"22";"1284";"2182";"158";"4565";"7965";"413292";"127335";"21420"
"MU";"2602001";"Bodocó (PE)";"46806";"-";"1615";"12300";"2500";"3520";"16050";"15800";"3200";"-"
"MU";"2602100";"Bom Conselho (PE)";"41000";"9";"1735";"9603";"140";"584";"7871";"100000";"60000";"-"
"MU";"2602209";"Bom Jardim (PE)";"7898";"-";"65";"4050";"150";"1480";"3500";"438000";"21500";"2000"
"MU";"2602308";"Bonito (PE)";"15475";"-";"678";"4550";"275";"540";"938";"1060404";"4052";"510"
"MU";"2602407";"Brejão (PE)";"11914";"12";"450";"1191";"29";"592";"1700";"200000";"120000";"-"
"MU";"2602506";"Brejinho (PE)";"2117";"-";"50";"1510";"350";"981";"721";"58400";"4020";"-"
"MU";"2602605";"Brejo da Madre de Deus (PE)";"13800";"-";"420";"2520";"480";"3700";"3800";"32500";"2200";"-"
"MU";"2602704";"Buenos Aires (PE)";"1300";"-";"80";"350";"100";"150";"160";"50000";"3000";"-"
"MU";"2602803";"Buíque (PE)";"46000";"-";"3600";"10000";"900";"18000";"26000";"95000";"10500";"-"
"MU";"2602902";"Cabo de Santo Agostinho (PE)";"1500";"59";"100";"100";"50";"54";"200";"51975";"6500";"442"
"MU";"2603009";"Cabrobó (PE)";"15082";"-";"1020";"2358";"1020";"27830";"25375";"24586";"10660";"-"
"MU";"2603108";"Cachoeirinha (PE)";"15389";"-";"649";"4472";"1800";"838";"4031";"400000";"80000";"-"
"MU";"2603207";"Caetés (PE)";"10600";"-";"210";"1200";"180";"950";"2200";"142000";"10900";"-"
"MU";"2603306";"Calçado (PE)";"2600";"-";"250";"750";"30";"500";"2500";"200000";"6000";"-"
"MU";"2603405";"Calumbi (PE)";"1509";"-";"199";"1108";"300";"3818";"6509";"6000";"2950";"600"
"MU";"2603454";"Camaragibe (PE)";"800";"-";"400";"350";"100";"375";"350";"90000";"25000";"16830"
"MU";"2603504";"Camocim de São Félix (PE)";"7252";"-";"126";"158";"30";"128";"30";"102779";"3080";"4221"
"MU";"2603603";"Camutanga (PE)";"1100";"-";"90";"144";"24";"108";"105";"6600";"2260";"-"
"MU";"2603702";"Canhotinho (PE)";"26350";"269";"1371";"1085";"38";"692";"2071";"111000";"12000";"-"
"MU";"2603801";"Capoeiras (PE)";"14700";"4";"544";"5000";"260";"450";"3100";"41600";"8100";"-"
"MU";"2603900";"Carnaíba (PE)";"7957";"-";"300";"3008";"456";"5400";"6300";"35000";"13000";"-"
"MU";"2603926";"Carnaubeira da Penha (PE)";"4033";"-";"1470";"4102";"1242";"65656";"11862";"23880";"8527";"-"
"MU";"2604007";"Carpina (PE)";"5000";"-";"250";"3385";"300";"860";"1791";"550000";"60000";"47000"
"MU";"2604106";"Caruaru (PE)";"27800";"80";"2050";"3350";"750";"7400";"5600";"545388";"292500";"-"
"MU";"2604155";"Casinhas (PE)";"5842";"-";"80";"1950";"190";"160";"630";"11500";"1500";"-"
"MU";"2604205";"Catende (PE)";"5147";"-";"450";"40";"5";"531";"1238";"1000";"500";"-"
"MU";"2604304";"Cedro (PE)";"6950";"-";"450";"1620";"502";"2018";"2500";"17930";"7514";"-"
"MU";"2604403";"Chã de Alegria (PE)";"1350";"-";"350";"270";"25";"350";"185";"160000";"5800";"-"
"MU";"2604502";"Chã Grande (PE)";"4159";"-";"788";"298";"90";"1900";"1910";"15601";"6973";"400"
"MU";"2604601";"Condado (PE)";"1858";"-";"120";"260";"90";"360";"170";"11000";"3550";"290"
"MU";"2604700";"Correntes (PE)";"23000";"5";"1350";"368";"61";"90";"3300";"169500";"35000";"-"
"MU";"2604809";"Cortês (PE)";"1471";"-";"99";"86";"44";"185";"98";"425";"357";"-"
"MU";"2604908";"Cumaru (PE)";"8900";"-";"330";"2350";"85";"2700";"4100";"94000";"21200";"-"
"MU";"2605004";"Cupira (PE)";"9850";"-";"550";"1350";"500";"3200";"2600";"7500";"1650";"-"
"MU";"2605103";"Custódia (PE)";"17800";"-";"1600";"4900";"650";"94000";"79000";"70000";"16000";"1050"
"MU";"2605152";"Dormentes (PE)";"9472";"44";"1398";"8561";"4315";"80219";"148415";"27200";"21700";"-"
"MU";"2605202";"Escada (PE)";"2910";"333";"512";"325";"166";"943";"649";"444";"129";"592"
"MU";"2605301";"Exu (PE)";"43782";"-";"1150";"1300";"420";"1100";"4200";"52000";"7600";"-"
"MU";"2605400";"Feira Nova (PE)";"3450";"-";"120";"600";"70";"300";"1000";"9000";"7000";"-"
"MU";"2605459";"Fernando de Noronha (PE)";"90";"-";"45";"-";"-";"300";"180";"300";"-";"-"
"MU";"2605509";"Ferreiros (PE)";"1746";"-";"200";"400";"90";"450";"318";"42000";"9000";"-"
"MU";"2605608";"Flores (PE)";"9354";"-";"663";"2139";"440";"9290";"14174";"15000";"7500";"-"
"MU";"2605707";"Floresta (PE)";"14982";"-";"3128";"3950";"1430";"314927";"169656";"11000";"5500";"-"
"MU";"2605806";"Frei Miguelinho (PE)";"8891";"-";"120";"3200";"56";"1850";"2850";"36800";"3500";"-"
"MU";"2605905";"Gameleira (PE)";"1914";"214";"296";"99";"85";"165";"166";"1412";"1328";"-"
"MU";"2606002";"Garanhuns (PE)";"22000";"-";"1140";"2400";"140";"522";"6100";"900000";"70000";"-"
"MU";"2606101";"Glória do Goitá (PE)";"3400";"-";"1100";"450";"40";"1200";"1500";"210000";"135000";"8000"
"MU";"2606200";"Goiana (PE)";"1803";"-";"330";"1300";"300";"1100";"400";"682000";"459000";"-"
"MU";"2606309";"Granito (PE)";"15552";"-";"540";"1350";"345";"2900";"13000";"7800";"1900";"-"
"MU";"2606408";"Gravatá (PE)";"22800";"192";"4070";"3572";"218";"7197";"7356";"120868";"47890";"42454"
"MU";"2606507";"Iati (PE)";"17000";"-";"750";"1614";"60";"1627";"4875";"18000";"6000";"-"
"MU";"2606606";"Ibimirim (PE)";"9200";"-";"3100";"2300";"310";"40000";"21000";"17000";"8500";"-"
"MU";"2606705";"Ibirajuba (PE)";"8500";"-";"630";"2210";"450";"1700";"3800";"20000";"4000";"-"
"MU";"2606804";"Igarassu (PE)";"900";"58";"300";"750";"620";"400";"1500";"65000";"27000";"15000"
"MU";"2606903";"Iguaracy (PE)";"8371";"-";"430";"1813";"350";"11867";"13409";"35100";"8000";"-"
"MU";"2607000";"Inajá (PE)";"7500";"-";"1500";"1500";"510";"16000";"10000";"13000";"5400";"-"
"MU";"2607109";"Ingazeira (PE)";"3321";"-";"150";"468";"100";"3067";"4897";"69300";"3300";"1200"
"MU";"2607208";"Ipojuca (PE)";"1300";"113";"600";"200";"120";"257";"407";"7005";"1300";"-"
"MU";"2607307";"Ipubi (PE)";"6623";"-";"1050";"2050";"375";"2300";"4200";"9200";"2800";"-"
"MU";"2607406";"Itacuruba (PE)";"1252";"-";"150";"502";"164";"5600";"9000";"9000";"3150";"-"
"MU";"2607505";"Itaíba (PE)";"47600";"-";"2900";"3000";"710";"12500";"35000";"60000";"17000";"-"
"MU";"2607604";"Ilha de Itamaracá (PE)";"500";"-";"75";"150";"70";"32";"100";"5500";"2300";"-"
"MU";"2607653";"Itambé (PE)";"3500";"-";"155";"950";"260";"480";"180";"65000";"6500";"-"
"MU";"2607703";"Itapetim (PE)";"6441";"-";"270";"3400";"500";"6000";"3600";"267400";"7000";"-"
"MU";"2607752";"Itapissuma (PE)";"320";"-";"15";"110";"70";"10";"77";"11000";"4000";"10000"
"MU";"2607802";"Itaquitinga (PE)";"280";"-";"130";"420";"60";"410";"65";"180000";"75000";"-"
"MU";"2607901";"Jaboatão dos Guararapes (PE)";"2500";"169";"250";"1887";"914";"511";"2061";"125675";"37702";"1303"
"MU";"2607950";"Jaqueira (PE)";"1622";"-";"160";"62";"-";"215";"125";"1205";"470";"-"
"MU";"2608008";"Jataúba (PE)";"9450";"-";"520";"1550";"420";"14500";"13750";"6200";"1050";"-"
"MU";"2608057";"Jatobá (PE)";"2530";"-";"290";"514";"280";"7900";"7104";"8000";"3400";"-"
"MU";"2608107";"João Alfredo (PE)";"5748";"-";"1300";"1900";"115";"2050";"5200";"40000";"2050";"-"
"MU";"2608206";"Joaquim Nabuco (PE)";"1529";"-";"320";"100";"10";"330";"400";"4000";"1700";"-"
"MU";"2608255";"Jucati (PE)";"4200";"5";"156";"850";"40";"500";"700";"750200";"6000";"-"
"MU";"2608305";"Jupi (PE)";"3400";"-";"198";"3000";"160";"600";"2600";"810000";"6800";"-"
"MU";"2608404";"Jurema (PE)";"4200";"95";"125";"700";"250";"400";"500";"58000";"9000";"-"
"MU";"2608453";"Lagoa do Carro (PE)";"3500";"-";"500";"2188";"400";"750";"700";"250000";"200000";"-"
"MU";"2608503";"Lagoa de Itaenga (PE)";"2000";"-";"60";"200";"35";"350";"900";"150000";"70000";"1600"
"MU";"2608602";"Lagoa do Ouro (PE)";"14000";"-";"550";"739";"40";"100";"2400";"91000";"6000";"-"
"MU";"2608701";"Lagoa dos Gatos (PE)";"6360";"-";"550";"1300";"380";"2870";"2650";"8500";"1600";"-"
"MU";"2608750";"Lagoa Grande (PE)";"7910";"-";"550";"3860";"1960";"84024";"38760";"21300";"17600";"-"
"MU";"2608800";"Lajedo (PE)";"17500";"23";"2200";"3250";"1050";"1450";"4580";"298000";"93500";"10000"
