"";"co_mun";"nm_mun";"co_state";"nm_state";"area_plant";"area_harv";"prod_bean";"exp_bean";"exp_bean_d";"exp_oil";"exp_oil_d";"exp_cake";"exp_cake_d";"imp_bean";"imp_bean_d";"imp_oil";"imp_oil_d";"imp_cake";"imp_cake_d";"proc_fac";"proc_cap";"ref_fac";"ref_cap";"bot_cap";"population";"cattle";"cattle_milked";"buffalo";"horse";"pig";"pig_mother";"goat";"sheep";"chicken";"chicken_layer";"quail";"storage_cap"
"29";1100502;"NOVO HORIZONTE DO OESTE";11;"RO";100;100;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10515;136804;7080;74;2190;2681;534;100;817;41121;17586;0;972
"30";1100601;"CACAULÂNDIA";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6268;239817;7288;212;2928;2502;488;612;1414;26087;11631;0;0
"31";1100700;"CAMPO NOVO DE RONDÔNIA";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13939;347723;18483;103;4607;4022;801;318;2059;56947;25625;0;0
"32";1100809;"CANDEIAS DO JAMARI";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22973;184782;3187;66;3147;2726;703;826;3201;50774;22849;0;0
"33";1100908;"CASTANHEIRAS";11;"RO";1000;1000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3689;103463;4016;92;1273;1139;199;70;1143;19497;8882;0;913
"34";1100924;"CHUPINGUAIA";11;"RO";26500;26500;79800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9636;298301;900;51;2624;2224;565;77;2002;22431;10000;0;1440
"35";1100940;"CUJUBIM";11;"RO";170;161;435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19410;146686;4943;11;2057;2353;689;1321;867;37031;16797;0;0
"36";1101005;"GOVERNADOR JORGE TEIXEIRA";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10534;263640;23020;187;4503;3322;489;363;1101;52353;16247;0;0
"37";1101104;"ITAPUÃ DO OESTE";11;"RO";980;980;2955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9661;75702;1874;18;1042;897;139;55;716;10374;4668;0;0
"38";1101203;"MINISTRO ANDREAZZA";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10899;119537;5999;11;1710;2741;409;60;462;37946;17075;0;756
"39";1101302;"MIRANTE DA SERRA";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12469;110969;11042;168;2308;2799;522;274;684;42267;19020;0;0
"40";1101401;"MONTE NEGRO";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15541;258038;13566;43;3733;4431;1092;525;4300;182941;81947;0;0
"41";1101435;"NOVA UNIÃO";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7883;133635;11899;510;2094;1471;675;250;693;30182;13457;0;3240
"42";1101450;"PARECIS";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5477;160015;5076;44;1853;2383;539;35;1949;25925;11666;0;0
"43";1101468;"PIMENTEIRAS DO OESTE";11;"RO";20000;20000;66000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2440;119218;2564;153;809;735;302;124;1016;8332;3850;0;0
"44";1101476;"PRIMAVERA DE RONDÔNIA";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3597;72879;3356;30;790;1178;269;41;658;57328;48326;0;0
